sep=,

June 18. 2018
Sensor Datalog
Time,Time,Pressure,Temperature,Humidity,Acceleration(XYZ),,,Angular Rate(XYZ),,,Mag Field(XYZ),,,
[h:m],[s],[hPa],[°C],[%],[mg],[mg],[mg],[mdps],[mdps],[mdps],[mGauss],[mGauss],[mGauss],
 9:55,11.52,,,,,,,,,,168,372,385,
 9:55,11.53,,,,,,,,,,162,264,-330,
 9:55,11.55,,,,,,,,,,162,133,3,
 9:55,11.56,,,,,,,,,,169,622,-175,
 9:55,11.57,,,,,,,,,,166,361,-364,
 9:55,11.58,,,,,,,,,,159,564,315,
 9:55,11.60,,,,,,,,,,156,139,-132,
 9:55,11.61,,,,,,,,,,162,198,258,
 9:55,11.63,,,,,,,,,,162,471,-345,
 9:55,11.64,,,,,,,,,,153,187,-246,
 9:55,11.66,,,,,,,,,,165,660,91,
 9:55,11.67,,,,,,,,,,165,147,139,
 9:55,11.68,,,,,,,,,,163,376,376,
 9:55,11.70,,,,,,,,,,157,268,-322,
 9:55,11.71,,,,,,,,,,156,127,1,
 9:55,11.73,,,,,,,,,,165,630,-174,
 9:55,11.74,,,,,,,,,,159,346,-361,
 9:55,11.75,,,,,,,,,,165,576,303,
 9:55,11.76,,,,,,,,,,163,138,-112,
 9:55,11.78,,,,,,,,,,162,210,265,
 9:55,11.79,,,,,,,,,,156,447,-358,
 9:55,11.81,,,,,,,,,,163,180,-225,
 9:55,11.82,,,,,,,,,,154,658,57,
 9:55,11.83,,,,,,,,,,168,147,156,
 9:55,11.85,,,,,,,,,,168,396,381,
 9:55,11.86,,,,,,,,,,160,255,-315,
 9:55,11.88,,,,,,,,,,163,124,27,
 9:55,11.89,,,,,,,,,,162,609,-196,
 9:55,11.91,,,,,,,,,,160,292,352,
 9:55,11.92,,,,,,,,,,162,573,301,
 9:55,11.93,,,,,,,,,,162,138,-115,
 9:55,11.94,,,,,,,,,,157,210,279,
 9:55,11.96,,,,,,,,,,162,444,-357,
 9:55,11.97,,,,,,,,,,168,490,363,
 9:55,11.99,,,,,,,,,,160,663,66,
 9:55,12.00,,,,,,,,,,171,160,165,
 9:55,12.01,,,,,,,,,,160,393,384,
 9:55,12.03,,,,,,,,,,156,259,-313,
 9:55,12.04,,,,,,,,,,160,631,190,
 9:55,12.05,,,,,,,,,,162,615,-198,
 9:55,12.07,,,,,,,,,,165,289,355,
 9:55,12.08,,,,,,,,,,157,579,298,
 9:55,12.10,,,,,,,,,,153,133,-105,
 9:55,12.11,,,,,,,,,,159,652,-75,
 9:55,12.12,,,,,,,,,,157,442,-352,
 9:55,12.14,,,,,,,,,,172,498,361,
 9:55,12.15,,,,,,,,,,160,663,57,
 9:55,12.17,,,,,,,,,,160,153,168,
 9:55,12.18,,,,,,,,,,166,403,385,
 9:55,12.19,,,,,,,,,,151,255,-306,
 9:55,12.21,,,,,,,,,,159,639,196,
 9:55,12.22,,,,,,,,,,162,612,-201,
 9:55,12.23,,,,,,,,,,157,295,357,
 9:55,12.25,,,,,,,,,,168,576,295,
 9:55,12.26,,,,,,,,,,157,135,-102,
 9:55,12.28,,,,,,,,,,165,655,-72,
 9:55,12.29,,,,,,,,,,162,438,-352,
 9:55,12.30,,,,,,,,,,160,498,361,
 9:55,12.32,,,,,,,,,,157,658,61,
 9:55,12.33,,,,,,,,,,166,148,171,
 9:55,12.35,,,,,,,,,,163,538,-303,
 9:55,12.36,,,,,,,,,,162,232,-298,
 9:55,12.37,,,,,,,,,,169,642,165,
 9:55,12.39,,,,,,,,,,171,598,-234,
 9:55,12.40,,,,,,,,,,162,318,360,
 9:55,12.41,,,,,,,,,,157,324,-354,
 9:55,12.43,,,,,,,,,,156,123,-81,
 9:55,12.44,,,,,,,,,,165,643,-108,
 9:55,12.46,,,,,,,,,,166,418,-358,
 9:55,12.47,,,,,,,,,,166,520,352,
 9:55,12.48,,,,,,,,,,156,165,-204,
 9:55,12.50,,,,,,,,,,154,163,189,
 9:55,12.51,,,,,,,,,,162,519,-315,
 9:55,12.53,,,,,,,,,,162,234,-298,
 9:55,12.54,,,,,,,,,,160,639,162,
 9:55,12.55,,,,,,,,,,162,132,-222,
 9:55,12.57,,,,,,,,,,166,315,369,
 9:55,12.58,,,,,,,,,,166,312,-357,
 9:55,12.59,,,,,,,,,,163,133,-76,
 9:55,12.61,,,,,,,,,,166,640,-108,
 9:55,12.62,,,,,,,,,,162,415,-364,
 9:55,12.64,,,,,,,,,,159,510,354,
 9:55,12.65,,,,,,,,,,169,165,-198,
 9:55,12.66,,,,,,,,,,157,160,195,
 9:55,12.67,,,,,,,,,,160,513,-321,
 9:55,12.69,,,,,,,,,,154,231,-295,
 9:55,12.71,,,,,,,,,,156,648,157,
 9:55,12.72,,,,,,,,,,162,132,61,
 9:55,12.73,,,,,,,,,,168,325,369,
 9:55,12.75,,,,,,,,,,165,313,-348,
 9:55,12.76,,,,,,,,,,163,132,-63,
 9:55,12.77,,,,,,,,,,160,640,-109,
 9:55,12.79,,,,,,,,,,169,231,301,
 9:55,12.80,,,,,,,,,,166,526,346,
 9:55,12.82,,,,,,,,,,160,160,-196,
 9:55,12.83,,,,,,,,,,165,163,196,
 9:55,12.84,,,,,,,,,,163,510,-327,
 9:55,12.85,,,,,,,,,,169,427,384,
 9:55,12.87,,,,,,,,,,162,649,150,
 9:55,12.88,,,,,,,,,,162,132,69,
 9:55,12.90,,,,,,,,,,163,325,373,
 9:55,12.91,,,,,,,,,,151,313,-349,
 9:55,12.92,,,,,,,,,,162,592,-69,
 9:55,12.94,,,,,,,,,,166,642,-124,
 9:55,12.95,,,,,,,,,,162,232,298,
 9:55,12.97,,,,,,,,,,165,523,340,
 9:55,12.98,,,,,,,,,,159,166,-198,
 9:55,13.00,,,,,,,,,,159,175,220,
 9:55,13.01,,,,,,,,,,163,495,-325,
 9:55,13.02,,,,,,,,,,169,439,381,
