sep=,

June 15. 2018
Sensor Datalog
Time,Time,Pressure,Temperature,Humidity,Acceleration(XYZ),,,Angular Rate(XYZ),,,Mag Field(XYZ),,,
[h:m],[s],[hPa],[°C],[%],[mg],[mg],[mg],[mdps],[mdps],[mdps],[mGauss],[mGauss],[mGauss],
 8:11,24.40,,,,,,,,,,145,532,267,
 8:11,24.41,,,,,,,,,,114,406,-553,
 8:11,24.43,,,,,,,,,,55,567,-688,
 8:11,24.44,,,,,,,,,,238,265,498,
 8:11,24.46,,,,,,,,,,142,373,-384,
 8:11,24.47,,,,,,,,,,232,406,805,
 8:11,24.48,,,,,,,,,,66,544,-756,
 8:11,24.50,,,,,,,,,,105,579,-163,
 8:11,24.51,,,,,,,,,,166,333,-198,
 8:11,24.53,,,,,,,,,,217,447,690,
 8:11,24.54,,,,,,,,,,264,292,792,
 8:11,24.55,,,,,,,,,,79,595,-352,
 8:11,24.57,,,,,,,,,,198,474,565,
 8:11,24.58,,,,,,,,,,81,474,-717,
 8:11,24.59,,,,,,,,,,256,304,841,
 8:11,24.61,,,,,,,,,,213,285,172,
 8:11,24.62,,,,,,,,,,160,517,387,
 8:11,24.64,,,,,,,,,,259,336,871,
 8:11,24.65,,,,,,,,,,67,582,-637,
 8:11,24.66,,,,,,,,,,234,268,391,
 8:11,24.67,,,,,,,,,,132,390,-490,
 8:11,24.69,,,,,,,,,,243,387,847,
 8:11,24.70,,,,,,,,,,250,274,574,
 8:11,24.72,,,,,,,,,,111,580,-46,
 8:11,24.73,,,,,,,,,,148,349,-315,
 8:11,24.75,,,,,,,,,,61,525,-762,
 8:11,24.76,,,,,,,,,,259,274,714,
 8:11,24.77,,,,,,,,,,178,321,-109,
 8:11,24.78,,,,,,,,,,202,462,630,
 8:11,24.80,,,,,,,,,,72,487,-739,
 8:11,24.81,,,,,,,,,,75,598,-433,
 8:11,24.83,,,,,,,,,,196,288,120,
 8:11,24.84,,,,,,,,,,90,447,-672,
 8:11,24.85,,,,,,,,,,258,330,870,
 8:11,24.87,,,,,,,,,,67,582,-588,
 8:11,24.88,,,,,,,,,,148,532,243,
 8:11,24.90,,,,,,,,,,117,405,-535,
 8:11,24.91,,,,,,,,,,54,567,-696,
 8:11,24.92,,,,,,,,,,246,268,520,
 8:11,24.94,,,,,,,,,,117,565,31,
 8:11,24.95,,,,,,,,,,241,415,789,
 8:11,24.96,,,,,,,,,,57,535,-759,
 8:11,24.98,,,,,,,,,,96,582,-186,
 8:11,24.99,,,,,,,,,,169,327,-171,
 8:11,25.01,,,,,,,,,,211,445,672,
 8:11,25.02,,,,,,,,,,261,286,790,
 8:11,25.03,,,,,,,,,,84,588,-384,
 8:11,25.05,,,,,,,,,,187,490,513,
 8:11,25.06,,,,,,,,,,85,456,-690,
 8:11,25.07,,,,,,,,,,255,321,859,
 8:11,25.09,,,,,,,,,,219,279,252,
 8:11,25.10,,,,,,,,,,159,528,315,
 8:11,25.12,,,,,,,,,,109,415,-592,
 8:11,25.13,,,,,,,,,,51,570,-669,
 8:11,25.14,,,,,,,,,,238,270,459,
 8:11,25.16,,,,,,,,,,135,375,-420,
 8:11,25.17,,,,,,,,,,243,390,823,
 8:11,25.19,,,,,,,,,,57,550,-753,
 8:11,25.20,,,,,,,,,,111,576,-63,
 8:11,25.21,,,,,,,,,,156,355,-282,
 8:11,25.23,,,,,,,,,,64,522,-757,
 8:11,25.24,,,,,,,,,,261,277,733,
 8:11,25.25,,,,,,,,,,87,597,-273,
 8:11,25.27,,,,,,,,,,196,466,604,
 8:11,25.28,,,,,,,,,,78,483,-744,
 8:11,25.30,,,,,,,,,,67,598,-444,
 8:11,25.31,,,,,,,,,,198,288,138,
 8:11,25.32,,,,,,,,,,172,511,430,
 8:11,25.33,,,,,,,,,,253,336,870,
 8:11,25.35,,,,,,,,,,60,585,-604,
 8:11,25.36,,,,,,,,,,144,540,228,
 8:11,25.38,,,,,,,,,,117,391,-528,
 8:11,25.39,,,,,,,,,,249,369,864,
 8:11,25.41,,,,,,,,,,247,267,529,
 8:11,25.42,,,,,,,,,,121,564,13,
 8:11,25.43,,,,,,,,,,237,415,790,
 8:11,25.44,,,,,,,,,,57,529,-751,
 8:11,25.46,,,,,,,,,,262,277,682,
 8:11,25.48,,,,,,,,,,169,328,-154,
 8:11,25.49,,,,,,,,,,205,450,663,
 8:11,25.50,,,,,,,,,,267,298,805,
 8:11,25.51,,,,,,,,,,76,594,-390,
 8:11,25.53,,,,,,,,,,198,298,64,
 8:11,25.54,,,,,,,,,,87,462,-687,
 8:11,25.56,,,,,,,,,,261,321,861,
 8:11,25.57,,,,,,,,,,223,280,267,
 8:11,25.58,,,,,,,,,,150,531,310,
 8:11,25.60,,,,,,,,,,106,417,-577,
 8:11,25.61,,,,,,,,,,58,568,-669,
 8:11,25.62,,,,,,,,,,238,271,469,
 8:11,25.64,,,,,,,,,,132,370,-421,
 8:11,25.65,,,,,,,,,,241,391,819,
 8:11,25.67,,,,,,,,,,58,546,-747,
 8:11,25.68,,,,,,,,,,111,591,-111,
 8:11,25.69,,,,,,,,,,156,337,-229,
 8:11,25.71,,,,,,,,,,211,429,712,
 8:11,25.72,,,,,,,,,,262,283,763,
 8:11,25.73,,,,,,,,,,82,591,-318,
 8:11,25.75,,,,,,,,,,195,483,568,
 8:11,25.76,,,,,,,,,,78,469,-726,
 8:11,25.78,,,,,,,,,,267,309,849,
 8:11,25.79,,,,,,,,,,211,280,189,
 8:11,25.80,,,,,,,,,,165,519,382,
 8:11,25.82,,,,,,,,,,253,331,870,
 8:11,25.83,,,,,,,,,,48,579,-610,
 8:11,25.85,,,,,,,,,,231,264,357,
 8:11,25.86,,,,,,,,,,123,403,-508,
 8:11,25.87,,,,,,,,,,247,373,852,
 8:11,25.89,,,,,,,,,,247,273,546,
 8:11,25.90,,,,,,,,,,118,567,0,
 8:11,25.91,,,,,,,,,,145,358,-339,
 8:11,25.93,,,,,,,,,,55,528,-759,
 8:11,25.94,,,,,,,,,,261,273,705,
 8:11,25.96,,,,,,,,,,166,321,-129,
 8:11,25.97,,,,,,,,,,210,457,640,
 8:11,25.98,,,,,,,,,,63,499,-745,
 8:11,26.00,,,,,,,,,,78,597,-412,
 8:11,26.01,,,,,,,,,,201,288,88,
 8:11,26.02,,,,,,,,,,93,457,-684,
 8:11,26.04,,,,,,,,,,259,330,865,
 8:11,26.05,,,,,,,,,,61,588,-570,
 8:11,26.07,,,,,,,,,,156,541,267,
 8:11,26.08,,,,,,,,,,105,415,-544,
 8:11,26.09,,,,,,,,,,60,573,-688,
 8:11,26.11,,,,,,,,,,246,273,505,
 8:11,26.12,,,,,,,,,,127,564,57,
 8:11,26.14,,,,,,,,,,234,402,802,
 8:11,26.15,,,,,,,,,,64,547,-748,
 8:11,26.16,,,,,,,,,,105,582,-156,
 8:11,26.17,,,,,,,,,,169,331,-187,
 8:11,26.19,,,,,,,,,,216,445,682,
 8:11,26.20,,,,,,,,,,268,289,786,
 8:11,26.22,,,,,,,,,,82,597,-363,
 8:11,26.23,,,,,,,,,,187,490,519,
 8:11,26.25,,,,,,,,,,85,460,-709,
 8:11,26.26,,,,,,,,,,259,318,853,
 8:11,26.27,,,,,,,,,,217,280,247,
 8:11,26.28,,,,,,,,,,163,522,321,
 8:11,26.30,,,,,,,,,,109,420,873,
 8:11,26.31,,,,,,,,,,57,573,-660,
 8:11,26.33,,,,,,,,,,238,264,444,
 8:11,26.34,,,,,,,,,,133,370,-439,
 8:11,26.35,,,,,,,,,,243,384,817,
 8:11,26.37,,,,,,,,,,58,550,-736,
 8:11,26.38,,,,,,,,,,103,580,-111,
