sep=,

June 15. 2018
Sensor Datalog
Time,Time,Pressure,Temperature,Humidity,Acceleration(XYZ),,,Angular Rate(XYZ),,,Mag Field(XYZ),,,
[h:m],[s],[hPa],[°C],[%],[mg],[mg],[mg],[mdps],[mdps],[mdps],[mGauss],[mGauss],[mGauss],
 8:11,50.19,,,,,,,,,,91,588,-174,
 8:11,50.21,,,,,,,,,,162,331,-178,
 8:11,50.22,,,,,,,,,,66,508,-762,
 8:11,50.23,,,,,,,,,,255,288,790,
 8:11,50.25,,,,,,,,,,81,592,-361,
 8:11,50.26,,,,,,,,,,183,490,519,
 8:11,50.28,,,,,,,,,,79,460,-706,
 8:11,50.29,,,,,,,,,,73,591,-529,
 8:11,50.30,,,,,,,,,,210,282,246,
 8:11,50.32,,,,,,,,,,163,522,331,
 8:11,50.33,,,,,,,,,,261,357,870,
 8:11,50.35,,,,,,,,,,54,574,-661,
 8:11,50.36,,,,,,,,,,127,564,115,
 8:11,50.37,,,,,,,,,,138,375,-438,
 8:11,50.39,,,,,,,,,,243,391,828,
 8:11,50.40,,,,,,,,,,252,268,624,
 8:11,50.41,,,,,,,,,,105,585,-91,
 8:11,50.43,,,,,,,,,,219,420,756,
 8:11,50.44,,,,,,,,,,54,522,-763,
 8:11,50.46,,,,,,,,,,264,276,729,
 8:11,50.47,,,,,,,,,,174,319,-87,
 8:11,50.48,,,,,,,,,,204,472,604,
 8:11,50.50,,,,,,,,,,256,298,832,
 8:11,50.51,,,,,,,,,,70,589,-445,
 8:11,50.52,,,,,,,,,,202,291,133,
 8:11,50.54,,,,,,,,,,102,450,-661,
 8:11,50.55,,,,,,,,,,256,330,865,
 8:11,50.57,,,,,,,,,,60,580,-600,
 8:11,50.58,,,,,,,,,,151,535,231,
 8:11,50.59,,,,,,,,,,120,400,-525,
 8:11,50.61,,,,,,,,,,63,567,-700,
 8:11,50.62,,,,,,,,,,247,261,532,
 8:11,50.64,,,,,,,,,,118,571,16,
 8:11,50.65,,,,,,,,,,223,409,789,
 8:11,50.66,,,,,,,,,,61,535,-760,
 8:11,50.67,,,,,,,,,,99,585,-201,
 8:11,50.69,,,,,,,,,,175,330,-154,
 8:11,50.70,,,,,,,,,,202,454,660,
 8:11,50.72,,,,,,,,,,264,297,799,
 8:11,50.73,,,,,,,,,,73,595,-394,
 8:11,50.75,,,,,,,,,,178,496,495,
 8:11,50.76,,,,,,,,,,79,457,-688,
 8:11,50.77,,,,,,,,,,256,313,868,
 8:11,50.78,,,,,,,,,,222,279,271,
 8:11,50.80,,,,,,,,,,154,526,297,
 8:11,50.81,,,,,,,,,,256,358,877,
 8:11,50.83,,,,,,,,,,51,568,-678,
 8:11,50.84,,,,,,,,,,246,271,472,
 8:11,50.85,,,,,,,,,,129,370,-409,
 8:11,50.87,,,,,,,,,,235,400,817,
 8:11,50.88,,,,,,,,,,256,273,634,
 8:11,50.90,,,,,,,,,,106,579,-135,
 8:11,50.91,,,,,,,,,,165,336,-217,
 8:11,50.92,,,,,,,,,,66,514,-762,
 8:11,50.94,,,,,,,,,,259,282,771,
 8:11,50.95,,,,,,,,,,193,306,-3,
 8:11,50.96,,,,,,,,,,181,481,552,
 8:11,50.98,,,,,,,,,,87,468,-712,
 8:11,50.99,,,,,,,,,,60,591,-510,
 8:11,51.01,,,,,,,,,,210,289,210,
 8:11,51.02,,,,,,,,,,100,435,-619,
 8:11,51.03,,,,,,,,,,258,345,864,
 8:11,51.05,,,,,,,,,,63,580,-639,
 8:11,51.06,,,,,,,,,,139,550,195,
 8:11,51.07,,,,,,,,,,124,393,-510,
 8:11,51.09,,,,,,,,,,48,555,-718,
 8:11,51.10,,,,,,,,,,240,271,552,
 8:11,51.12,,,,,,,,,,111,570,-18,
 8:11,51.13,,,,,,,,,,231,421,765,
 8:11,51.14,,,,,,,,,,63,528,-765,
 8:11,51.16,,,,,,,,,,264,277,709,
 8:11,51.17,,,,,,,,,,181,316,-114,
 8:11,51.18,,,,,,,,,,199,457,631,
 8:11,51.20,,,,,,,,,,265,292,819,
 8:11,51.21,,,,,,,,,,73,597,-432,
 8:11,51.23,,,,,,,,,,196,295,103,
 8:11,51.24,,,,,,,,,,84,442,-670,
 8:11,51.25,,,,,,,,,,250,330,861,
 8:11,51.27,,,,,,,,,,228,268,319,
