sep=,

June 15. 2018
Sensor Datalog
Time,Time,Pressure,Temperature,Humidity,Acceleration(XYZ),,,Angular Rate(XYZ),,,Mag Field(XYZ),,,
[h:m],[s],[hPa],[°C],[%],[mg],[mg],[mg],[mdps],[mdps],[mdps],[mGauss],[mGauss],[mGauss],
 8:10,18.22,,,,,,,,,,217,474,195,
 8:10,18.23,,,,,,,,,,184,357,-291,
 8:10,18.25,,,,,,,,,,184,525,-268,
 8:10,18.26,,,,,,,,,,207,195,178,
 8:10,18.27,,,,,,,,,,217,511,105,
 8:10,18.28,,,,,,,,,,220,319,394,
 8:10,18.30,,,,,,,,,,184,504,-309,
 8:10,18.31,,,,,,,,,,210,186,255,
 8:10,18.33,,,,,,,,,,189,273,-145,
 8:10,18.34,,,,,,,,,,223,370,363,
 8:10,18.35,,,,,,,,,,216,214,331,
 8:10,18.37,,,,,,,,,,204,541,-90,
 8:10,18.38,,,,,,,,,,198,226,-49,
 8:10,18.40,,,,,,,,,,177,412,-336,
 8:10,18.41,,,,,,,,,,214,229,376,
 8:10,18.42,,,,,,,,,,198,204,48,
 8:10,18.44,,,,,,,,,,219,463,208,
 8:10,18.45,,,,,,,,,,186,372,-295,
 8:10,18.46,,,,,,,,,,190,532,-262,
 8:10,18.48,,,,,,,,,,207,189,162,
 8:10,18.49,,,,,,,,,,183,318,-232,
 8:10,18.51,,,,,,,,,,223,318,387,
 8:10,18.52,,,,,,,,,,184,498,-319,
 8:10,18.53,,,,,,,,,,201,537,-3,
 8:10,18.55,,,,,,,,,,195,270,-136,
 8:10,18.56,,,,,,,,,,184,460,-340,
 8:10,18.57,,,,,,,,,,219,214,336,
 8:10,18.59,,,,,,,,,,201,546,-103,
 8:10,18.60,,,,,,,,,,220,429,294,
 8:10,18.62,,,,,,,,,,181,415,-331,
 8:10,18.63,,,,,,,,,,198,544,-199,
 8:10,18.64,,,,,,,,,,193,205,67,
 8:10,18.66,,,,,,,,,,216,468,204,
 8:10,18.67,,,,,,,,,,225,279,406,
 8:10,18.69,,,,,,,,,,192,528,-270,
 8:10,18.70,,,,,,,,,,210,499,96,
 8:10,18.71,,,,,,,,,,186,309,-219,
 8:10,18.73,,,,,,,,,,223,316,393,
 8:10,18.74,,,,,,,,,,217,193,259,
 8:10,18.75,,,,,,,,,,204,535,-10,
 8:10,18.77,,,,,,,,,,228,366,357,
 8:10,18.78,,,,,,,,,,184,463,-342,
 8:10,18.80,,,,,,,,,,216,207,337,
 8:10,18.81,,,,,,,,,,196,234,-36,
 8:10,18.82,,,,,,,,,,223,424,288,
 8:10,18.83,,,,,,,,,,219,240,387,
 8:10,18.85,,,,,,,,,,193,541,-189,
 8:10,18.86,,,,,,,,,,201,204,72,
 8:10,18.88,,,,,,,,,,180,364,-289,
 8:10,18.89,,,,,,,,,,228,270,411,
 8:10,18.91,,,,,,,,,,208,187,172,
 8:10,18.92,,,,,,,,,,214,504,99,
 8:10,18.93,,,,,,,,,,186,319,-240,
 8:10,18.95,,,,,,,,,,196,505,-306,
 8:10,18.96,,,,,,,,,,211,190,253,
 8:10,18.98,,,,,,,,,,189,280,-163,
 8:10,18.99,,,,,,,,,,226,364,366,
 8:10,19.00,,,,,,,,,,183,465,-337,
 8:10,19.01,,,,,,,,,,201,538,-85,
 8:10,19.03,,,,,,,,,,199,240,-58,
 8:10,19.04,,,,,,,,,,192,412,-334,
 8:10,19.06,,,,,,,,,,222,228,376,
 8:10,19.07,,,,,,,,,,198,546,-184,
 8:10,19.08,,,,,,,,,,211,462,216,
 8:10,19.10,,,,,,,,,,183,375,-304,
 8:10,19.11,,,,,,,,,,192,525,-262,
 8:10,19.12,,,,,,,,,,211,198,147,
 8:10,19.14,,,,,,,,,,213,492,118,
 8:10,19.15,,,,,,,,,,228,315,394,
 8:10,19.17,,,,,,,,,,196,504,-315,
 8:10,19.18,,,,,,,,,,205,189,249,
 8:10,19.19,,,,,,,,,,189,268,-159,
 8:10,19.21,,,,,,,,,,222,367,360,
 8:10,19.22,,,,,,,,,,216,211,325,
 8:10,19.24,,,,,,,,,,202,541,-94,
 8:10,19.25,,,,,,,,,,192,225,-52,
 8:10,19.26,,,,,,,,,,177,418,-333,
 8:10,19.28,,,,,,,,,,214,223,376,
 8:10,19.29,,,,,,,,,,198,208,51,
 8:10,19.30,,,,,,,,,,217,468,223,
 8:10,19.32,,,,,,,,,,183,369,-298,
 8:10,19.33,,,,,,,,,,193,538,-259,
 8:10,19.35,,,,,,,,,,211,190,154,
 8:10,19.36,,,,,,,,,,183,322,-234,
 8:10,19.37,,,,,,,,,,228,310,394,
 8:10,19.39,,,,,,,,,,178,501,-315,
 8:10,19.40,,,,,,,,,,204,531,12,
 8:10,19.41,,,,,,,,,,186,261,-153,
 8:10,19.43,,,,,,,,,,181,472,-340,
 8:10,19.44,,,,,,,,,,214,202,319,
 8:10,19.46,,,,,,,,,,211,540,-90,
 8:10,19.47,,,,,,,,,,225,418,303,
 8:10,19.48,,,,,,,,,,181,417,-342,
 8:10,19.50,,,,,,,,,,193,543,-187,
 8:10,19.51,,,,,,,,,,204,208,55,
 8:10,19.53,,,,,,,,,,211,463,213,
 8:10,19.54,,,,,,,,,,223,271,394,
 8:10,19.55,,,,,,,,,,196,523,-255,
 8:10,19.57,,,,,,,,,,220,502,135,
 8:10,19.58,,,,,,,,,,180,322,-252,
 8:10,19.59,,,,,,,,,,226,312,397,
 8:10,19.61,,,,,,,,,,205,186,231,
 8:10,19.62,,,,,,,,,,211,531,25,
 8:10,19.64,,,,,,,,,,226,355,378,
 8:10,19.65,,,,,,,,,,192,472,-336,
 8:10,19.66,,,,,,,,,,213,198,315,
 8:10,19.67,,,,,,,,,,195,246,-70,
 8:10,19.69,,,,,,,,,,222,417,307,
 8:10,19.70,,,,,,,,,,219,223,369,
 8:10,19.72,,,,,,,,,,195,541,-166,
 8:10,19.73,,,,,,,,,,199,208,45,
 8:10,19.75,,,,,,,,,,186,367,-307,
 8:10,19.76,,,,,,,,,,229,268,400,
 8:10,19.77,,,,,,,,,,207,190,141,
 8:10,19.78,,,,,,,,,,210,495,132,
 8:10,19.80,,,,,,,,,,186,327,-247,
 8:10,19.82,,,,,,,,,,192,517,-312,
 8:10,19.83,,,,,,,,,,214,184,237,
 8:10,19.84,,,,,,,,,,184,276,-160,
 8:10,19.85,,,,,,,,,,220,361,369,
 8:10,19.87,,,,,,,,,,184,471,-333,
 8:10,19.88,,,,,,,,,,202,544,-85,
 8:10,19.90,,,,,,,,,,190,238,-63,
 8:10,19.91,,,,,,,,,,181,424,-336,
 8:10,19.92,,,,,,,,,,220,226,379,
 8:10,19.94,,,,,,,,,,190,547,-184,
 8:10,19.95,,,,,,,,,,217,463,225,
 8:10,19.96,,,,,,,,,,180,375,-300,
 8:10,19.98,,,,,,,,,,189,534,-259,
 8:10,19.99,,,,,,,,,,198,195,148,
 8:10,20.01,,,,,,,,,,217,496,130,
 8:10,20.02,,,,,,,,,,225,313,397,
 8:10,20.03,,,,,,,,,,189,495,-306,
 8:10,20.05,,,,,,,,,,208,192,235,
 8:10,20.06,,,,,,,,,,187,279,-156,
 8:10,20.07,,,,,,,,,,223,364,363,
 8:10,20.09,,,,,,,,,,220,198,318,
 8:10,20.10,,,,,,,,,,207,538,-85,
 8:10,20.12,,,,,,,,,,199,240,-63,
 8:10,20.13,,,,,,,,,,186,433,-337,
 8:10,20.14,,,,,,,,,,217,234,372,
 8:10,20.16,,,,,,,,,,201,208,43,
 8:10,20.17,,,,,,,,,,219,459,223,
 8:10,20.19,,,,,,,,,,178,373,-301,
 8:10,20.20,,,,,,,,,,199,538,-247,
 8:10,20.21,,,,,,,,,,199,195,121,
 8:10,20.23,,,,,,,,,,190,337,-258,
 8:10,20.24,,,,,,,,,,223,307,405,
 8:10,20.25,,,,,,,,,,196,510,-292,
 8:10,20.27,,,,,,,,,,211,517,46,
 8:10,20.28,,,,,,,,,,180,288,-180,
 8:10,20.30,,,,,,,,,,178,474,-328,
 8:10,20.31,,,,,,,,,,217,198,298,
 8:10,20.32,,,,,,,,,,204,535,-61,
 8:10,20.33,,,,,,,,,,231,403,324,
 8:10,20.35,,,,,,,,,,186,436,-337,
 8:10,20.36,,,,,,,,,,198,544,-156,
 8:10,20.38,,,,,,,,,,205,214,21,
 8:10,20.39,,,,,,,,,,216,454,244,
 8:10,20.41,,,,,,,,,,216,256,403,
 8:10,20.42,,,,,,,,,,192,546,-240,
 8:10,20.43,,,,,,,,,,213,489,139,
 8:10,20.45,,,,,,,,,,186,333,-253,
 8:10,20.46,,,,,,,,,,228,303,396,
 8:10,20.48,,,,,,,,,,213,190,223,
 8:10,20.49,,,,,,,,,,214,517,45,
 8:10,20.50,,,,,,,,,,217,361,369,
 8:10,20.51,,,,,,,,,,181,478,-333,
 8:10,20.53,,,,,,,,,,213,201,301,
 8:10,20.54,,,,,,,,,,190,244,-85,
 8:10,20.56,,,,,,,,,,223,400,313,
 8:10,20.57,,,,,,,,,,219,226,364,
 8:10,20.58,,,,,,,,,,193,546,-171,
 8:10,20.60,,,,,,,,,,202,211,28,
 8:10,20.61,,,,,,,,,,184,379,-309,
 8:10,20.62,,,,,,,,,,225,262,397,
 8:10,20.64,,,,,,,,,,210,201,136,
 8:10,20.65,,,,,,,,,,207,496,135,
 8:10,20.67,,,,,,,,,,187,328,-247,
 8:10,20.68,,,,,,,,,,187,511,-306,
 8:10,20.69,,,,,,,,,,208,187,231,
 8:10,20.71,,,,,,,,,,190,279,-166,
 8:10,20.72,,,,,,,,,,225,361,373,
 8:10,20.74,,,,,,,,,,190,472,-342,
 8:10,20.75,,,,,,,,,,205,547,-78,
 8:10,20.76,,,,,,,,,,192,244,-78,
 8:10,20.78,,,,,,,,,,189,415,-334,
 8:10,20.79,,,,,,,,,,226,231,370,
 8:10,20.80,,,,,,,,,,187,549,-178,
 8:10,20.82,,,,,,,,,,223,441,241,
 8:10,20.83,,,,,,,,,,184,388,-321,
 8:10,20.85,,,,,,,,,,222,537,-244,
 8:10,20.86,,,,,,,,,,207,198,121,
 8:10,20.87,,,,,,,,,,220,490,144,
 8:10,20.89,,,,,,,,,,222,304,397,
 8:10,20.90,,,,,,,,,,187,517,-304,
 8:10,20.91,,,,,,,,,,207,189,222,
 8:10,20.93,,,,,,,,,,195,280,-169,
 8:10,20.94,,,,,,,,,,231,346,373,
 8:10,20.96,,,,,,,,,,219,204,306,
 8:10,20.97,,,,,,,,,,204,541,-73,
 8:10,20.98,,,,,,,,,,190,238,-76,
 8:10,21.00,,,,,,,,,,175,430,-330,
 8:10,21.01,,,,,,,,,,223,225,364,
 8:10,21.03,,,,,,,,,,202,210,27,
 8:10,21.04,,,,,,,,,,219,450,237,
 8:10,21.05,,,,,,,,,,180,381,-306,
 8:10,21.07,,,,,,,,,,193,526,-243,
 8:10,21.08,,,,,,,,,,202,190,127,
 8:10,21.09,,,,,,,,,,187,336,-258,
 8:10,21.11,,,,,,,,,,229,313,397,
 8:10,21.12,,,,,,,,,,175,514,-307,
 8:10,21.14,,,,,,,,,,210,520,33,
 8:10,21.15,,,,,,,,,,186,283,-174,
 8:10,21.16,,,,,,,,,,183,481,-340,
 8:10,21.17,,,,,,,,,,208,201,301,
 8:10,21.19,,,,,,,,,,201,541,-70,
 8:10,21.20,,,,,,,,,,225,412,319,
