sep=,,,,
,,,,
June 8. 2018,,,,
Sensor Datalog,,,,
Time,Time,Mag Field(XYZ),,
[h:m],[s],[mGauss],[mGauss],[mGauss]
 8:10,38.66,-499,-144,342
 8:10,38.68,-102,547,291
 8:10,38.69,-181,256,342
 8:10,38.71,-364,345,258
 8:10,38.72,-451,-106,348
 8:10,38.73,-588,-108,315
 8:10,38.75,-130,351,330
 8:10,38.76,-385,-43,348
 8:10,38.78,-163,549,277
 8:10,38.79,-580,-145,324
 8:10,38.8,-489,165,279
 8:10,38.82,-321,31,354
 8:10,38.83,-559,-160,330
 8:10,38.84,-97,492,315
 8:10,38.86,-534,73,291
 8:10,38.87,-273,456,259
 8:10,38.89,-522,-159,345
 8:10,38.9,-562,-9,300
 8:10,38.91,-190,220,340
 8:10,38.92,-340,376,264
 8:10,38.94,-106,559,283
 8:10,38.95,-585,-82,309
 8:10,38.97,-406,286,264
 8:10,38.98,-412,-66,349
 8:10,39,-147,549,274
 8:10,39.01,-109,400,324
 8:10,39.02,-469,193,264
 8:10,39.04,-192,525,267
 8:10,39.05,-567,-148,327
 8:10,39.07,-96,472,306
 8:10,39.08,-282,82,348
 8:10,39.09,-252,475,264
 8:10,39.1,-91,511,303
 8:10,39.12,-559,13,289
 8:10,39.13,-226,186,343
 8:10,39.15,-489,-136,346
 8:10,39.16,-99,555,297
 8:10,39.17,-181,255,348
 8:10,39.19,-363,340,265
 8:10,39.2,-451,-97,351
 8:10,39.21,-583,-99,307
 8:10,39.23,-130,348,331
 8:10,39.24,-432,256,270
 8:10,39.26,-163,555,273
 8:10,39.27,-579,-145,319
 8:10,39.28,-480,163,271
 8:10,39.3,-331,28,348
 8:10,39.31,-214,511,273
 8:10,39.33,-91,487,307
 8:10,39.34,-538,79,280
 8:10,39.35,-267,466,262
 8:10,39.37,-529,-151,336
 8:10,39.38,-96,534,300
 8:10,39.39,-208,202,349
 8:10,39.41,-334,387,261
 8:10,39.42,-106,550,289
 8:10,39.44,-577,-70,309
 8:10,39.45,-156,297,340
 8:10,39.46,-420,-79,351
 8:10,39.48,-139,556,279
 8:10,39.49,-114,379,334
 8:10,39.5,-453,205,276
 8:10,39.52,-364,-7,355
 8:10,39.53,-565,-151,328
 8:10,39.55,-87,456,316
 8:10,39.56,-298,73,349
 8:10,39.57,-237,484,258
 8:10,39.58,-543,-166,334
 8:10,39.6,-549,33,285
 8:10,39.62,-232,165,351
 8:10,39.63,-501,-141,349
 8:10,39.64,-93,544,283
 8:10,39.66,-573,-48,301
 8:10,39.67,-364,345,267
 8:10,39.68,-450,-109,351
 8:10,39.7,-594,-102,310
 8:10,39.71,-135,346,327
 8:10,39.73,-429,249,268
 8:10,39.74,-169,546,262
 8:10,39.75,-577,-135,319
 8:10,39.76,-487,157,267
 8:10,39.78,-322,37,355
 8:10,39.79,-210,513,267
 8:10,39.81,-88,478,310
 8:10,39.82,-526,88,283
 8:10,39.83,-268,100,348
 8:10,39.85,-529,-162,334
 8:10,39.86,-91,523,294
 8:10,39.87,-204,195,348
 8:10,39.89,-328,397,264
 8:10,39.91,-487,-133,340
 8:10,39.92,-580,-73,298
 8:10,39.93,-153,294,336
 8:10,39.94,-423,-87,348
 8:10,39.96,-139,559,280
 8:10,39.97,-583,-117,310
 8:10,39.99,-456,216,267
 8:10,40,-367,-22,357
 8:10,40.01,-576,-150,325
 8:10,40.03,-93,448,315
 8:10,40.04,-504,132,280
 8:10,40.05,-228,492,268
 8:10,40.07,-549,-159,336
 8:10,40.08,-543,39,286
 8:10,40.1,-235,153,348
 8:10,40.11,-292,426,262
 8:10,40.12,-94,547,286
 8:10,40.14,-571,-36,298
 8:10,40.15,-363,358,264
 8:10,40.16,-456,-112,349
 8:10,40.18,-120,552,280
 8:10,40.19,-133,337,331
 8:10,40.21,-424,264,268
 8:10,40.22,-150,552,274
 8:10,40.23,-583,-138,316
 8:10,40.25,-102,412,321
 8:10,40.26,-337,19,349
 8:10,40.28,-202,517,258
 8:10,40.29,-96,477,306
 8:10,40.3,-529,84,280
 8:10,40.32,-265,106,348
 8:10,40.33,-522,-156,339
 8:10,40.34,-93,534,297
 8:10,40.36,-564,4,288
 8:10,40.37,-322,390,267
 8:10,40.39,-484,-129,346
 8:10,40.4,-585,-58,292
 8:10,40.41,-160,280,336
 8:10,40.42,-388,300,262
 8:10,40.44,-127,558,279
 8:10,40.45,-583,-111,310
 8:10,40.47,-444,237,271
 8:10,40.48,-375,-37,351
 8:10,40.5,-168,543,276
 8:10,40.51,-100,427,321
 8:10,40.52,-490,147,273
 8:10,40.54,-219,508,258
 8:10,40.55,-556,-160,330
 8:10,40.57,-87,498,304
 8:10,40.58,-247,129,352
 8:10,40.59,-285,450,259
 8:10,40.6,-94,532,298
 8:10,40.62,-570,-22,294
 8:10,40.63,-195,217,339
 8:10,40.65,-465,-118,348
 8:10,40.66,-112,561,280
 8:10,40.67,-144,307,333
 8:10,40.69,-403,300,258
 8:10,40.7,-411,-64,352
 8:10,40.71,-582,-130,318
 8:10,40.73,-106,400,324
 8:10,40.74,-352,3,355
 8:10,40.76,-201,519,270
 8:10,40.77,-576,-159,325
 8:10,40.78,-514,106,276
 8:10,40.8,-288,93,349
 8:10,40.81,-537,-169,339
 8:10,40.83,-91,516,303
 8:10,40.84,-556,24,288
 8:10,40.85,-313,418,259
 8:10,40.87,-492,-145,345
 8:10,40.88,-96,552,294
 8:10,40.89,-168,271,340
 8:10,40.91,-372,325,267
 8:10,40.92,-127,553,277
 8:10,40.94,-594,-109,313
 8:10,40.95,-135,360,330
 8:10,40.96,-382,-42,357
 8:10,40.98,-165,547,270
 8:10,40.99,-96,427,316
 8:10,41,-489,145,271
 8:10,41.02,-309,46,351
 8:10,41.03,-555,-165,336
 8:10,41.05,-84,490,310
 8:10,41.06,-265,111,345
 8:10,41.07,-258,460,256
 8:10,41.09,-532,-156,343
 8:10,41.1,-567,0,286
