sep=,,,,
,,,,
June 8. 2018,,,,
Sensor Datalog,,,,
Time,Time,Mag Field(XYZ),,
[h:m],[s],[mGauss],[mGauss],[mGauss]
 8:13,30.51,-223,274,946
 8:13,30.53,24,649,996
 8:13,30.54,-58,262,1014
 8:13,30.55,-106,915,900
 8:13,30.57,-201,223,970
 8:13,30.58,-252,567,892
 8:13,30.6,-30,339,1020
 8:13,30.61,-181,184,982
 8:13,30.62,-4,804,961
 8:13,30.64,-264,469,916
 8:13,30.65,-172,852,892
 8:13,30.67,-142,177,1002
 8:13,30.68,-249,384,927
 8:13,30.69,6,504,1006
 8:13,30.71,-193,790,891
 8:13,30.72,-52,901,924
 8:13,30.73,-240,318,939
 8:13,30.75,18,583,885
 8:13,30.76,-75,229,1015
 8:13,30.78,-79,918,927
 8:13,30.79,28,679,988
 8:13,30.8,-250,631,901
 8:13,30.82,-48,280,1021
 8:13,30.83,-205,204,976
 8:13,30.84,18,760,972
 8:13,30.86,-13,354,1009
 8:13,30.87,-154,883,894
 8:13,30.89,-171,186,984
 8:13,30.9,-256,462,909
 8:13,30.91,0,432,1018
 8:13,30.92,-136,187,994
 8:13,30.94,-25,874,943
 8:13,30.96,-250,364,931
 8:13,30.97,-211,769,888
 8:13,30.98,-100,198,1009
 8:13,31,-246,301,945
 8:13,31.01,24,583,1005
 8:13,31.02,-231,718,892
 8:13,31.04,-78,916,921
 8:13,31.05,-223,249,955
 8:13,31.07,-247,628,895
 8:13,31.08,-40,291,1009
 8:13,31.09,-109,906,898
 8:13,31.1,10,759,967
 8:13,31.12,-262,540,906
 8:13,31.13,-147,880,901
 8:13,31.15,-166,184,984
 8:13,31.16,-7,825,957
 8:13,31.17,1,444,1017
 8:13,31.19,-181,832,891
 8:13,31.2,-27,880,943
 8:13,31.21,-255,361,933
 8:13,31.23,22,535,1014
 8:13,31.25,-93,204,1006
 8:13,31.26,-60,897,933
 8:13,31.27,-237,295,931
 8:13,31.28,-232,684,895
 8:13,31.3,-58,247,1012
 8:13,31.31,-213,237,969
 8:13,31.33,21,702,975
 8:13,31.34,-250,591,897
 8:13,31.35,-124,906,900
 8:13,31.37,-184,192,976
 8:13,31.38,-264,502,906
 8:13,31.39,-1,390,1017
 8:13,31.41,-162,870,898
 8:13,31.42,-13,837,954
 8:13,31.44,-255,423,912
 8:13,31.45,-190,814,891
 8:13,31.46,-120,186,1005
 8:13,31.48,-43,891,933
 8:13,31.49,27,556,1006
 8:13,31.5,-211,744,888
 8:13,31.52,-79,918,919
 8:13,31.53,-229,277,943
 8:13,31.55,28,655,990
 8:13,31.56,-54,274,1017
 8:13,31.57,-102,913,909
 8:13,31.59,18,733,976
 8:13,31.6,-250,568,894
 8:13,31.62,-18,330,1026
 8:13,31.63,-175,184,982
 8:13,31.64,1,789,951
 8:13,31.66,-7,390,1018
 8:13,31.67,-162,864,888
 8:13,31.68,-156,181,997
 8:13,31.7,-262,420,925
 8:13,31.71,13,480,1014
 8:13,31.73,-190,189,1000
 8:13,31.74,-48,889,927
 8:13,31.75,-237,333,945
 8:13,31.76,-226,739,886
 8:13,31.78,-82,214,1011
 8:13,31.79,-76,919,922
 8:13,31.81,18,664,985
 8:13,31.82,-238,648,891
 8:13,31.83,-111,913,906
 8:13,31.85,-205,217,969
 8:13,31.86,6,742,972
 8:13,31.88,-28,339,1008
 8:13,31.89,-139,894,900
 8:13,31.91,-1,811,955
 8:13,31.92,-264,462,907
 8:13,31.93,7,412,1015
 8:13,31.94,-136,175,994
 8:13,31.96,-25,871,948
 8:13,31.97,19,516,1006
 8:13,31.99,-210,775,895
 8:13,32,-114,193,1006
 8:13,32.01,-238,307,949
 8:13,32.03,24,600,997
 8:13,32.04,-69,244,1003
 8:13,32.05,-81,918,910
 8:13,32.07,-217,235,963
 8:13,32.08,-244,612,892
 8:13,32.1,-34,298,1017
 8:13,32.11,-192,199,969
