sep=,,,,
,,,,
June 8. 2018,,,,
Sensor Datalog,,,,
Time,Time,Mag Field(XYZ),,
[h:m],[s],[mGauss],[mGauss],[mGauss]
 8:13,43.91,-427,25,312
 8:13,43.92,-477,348,288
 8:13,43.94,-258,-175,348
 8:13,43.95,-342,403,318
 8:13,43.96,-214,129,351
 8:13,43.98,-469,283,291
 8:13,43.99,-385,429,310
 8:13,44,-364,-99,324
 8:13,44.02,-238,204,343
 8:13,44.03,-205,-102,361
 8:13,44.05,-415,424,310
 8:13,44.06,-261,267,331
 8:13,44.07,-469,157,304
 8:13,44.09,-208,-64,354
 8:13,44.1,-300,-166,342
 8:13,44.12,-292,322,328
 8:13,44.13,-199,-4,355
 8:13,44.14,-459,382,303
 8:13,44.16,-277,-177,351
 8:13,44.17,-415,10,310
 8:13,44.18,-201,73,355
 8:13,44.2,-244,-168,354
 8:13,44.21,-361,403,322
 8:13,44.23,-396,-54,324
 8:13,44.24,-472,274,286
 8:13,44.25,-219,-139,351
 8:13,44.26,-393,421,312
 8:13,44.28,-240,210,339
 8:13,44.29,-466,205,295
 8:13,44.31,-411,421,304
 8:13,44.32,-330,-132,336
 8:13,44.33,-259,261,339
 8:13,44.35,-204,-66,358
 8:13,44.36,-445,411,304
 8:13,44.38,-295,318,342
 8:13,44.39,-442,78,301
 8:13,44.41,-205,7,364
 8:13,44.42,-267,-175,346
 8:13,44.43,-327,372,316
 8:13,44.44,-210,73,361
 8:13,44.46,-469,334,297
 8:13,44.47,-252,-159,351
 8:13,44.49,-388,-52,318
 8:13,44.5,-231,136,343
 8:13,44.51,-225,-145,367
 8:13,44.53,-384,429,313
 8:13,44.54,-357,-105,322
 8:13,44.55,-466,205,297
 8:13,44.57,-208,-108,357
 8:13,44.58,-327,-141,328
 8:13,44.6,-270,276,333
 8:13,44.61,-457,142,301
 8:13,44.62,-444,402,294
 8:13,44.64,-292,-168,345
 8:13,44.65,-441,67,304
 8:13,44.67,-196,15,351
 8:13,44.68,-456,366,300
 8:13,44.69,-330,384,325
 8:13,44.71,-412,-6,313
 8:13,44.72,-214,90,354
 8:13,44.73,-232,-160,355
 8:13,44.75,-369,418,315
 8:13,44.76,-228,153,354
 8:13,44.78,-472,261,300
 8:13,44.79,-219,-139,355
 8:13,44.8,-357,-115,336
 8:13,44.82,-247,228,343
 8:13,44.83,-214,-99,363
 8:13,44.84,-421,426,309
 8:13,44.86,-321,-145,328
 8:13,44.87,-450,120,303
 8:13,44.89,-193,-39,366
 8:13,44.9,-288,-165,355
 8:13,44.91,-297,343,325
 8:13,44.92,-442,52,312
 8:13,44.94,-460,370,303
 8:13,44.96,-273,-177,348
 8:13,44.97,-417,-3,312
 8:13,44.98,-214,76,357
 8:13,45,-472,324,294
 8:13,45.01,-366,403,310
 8:13,45.02,-388,-60,315
 8:13,45.04,-475,268,294
 8:13,45.05,-226,-136,357
 8:13,45.07,-397,429,309
 8:13,45.08,-252,225,354
 8:13,45.09,-465,204,295
 8:13,45.1,-202,-94,298
 8:13,45.12,-331,-145,343
 8:13,45.13,-277,289,337
 8:13,45.15,-202,-39,360
 8:13,45.16,-442,399,300
 8:13,45.17,-289,-171,346
 8:13,45.19,-445,61,303
 8:13,45.2,-204,25,351
 8:13,45.21,-262,-169,345
 8:13,45.23,-337,384,325
 8:13,45.24,-421,-1,318
 8:13,45.26,-472,321,288
 8:13,45.27,-240,-159,355
 8:13,45.28,-391,-63,322
 8:13,45.3,-226,160,343
 8:13,45.31,-478,256,294
 8:13,45.33,-397,429,304
 8:13,45.34,-361,-115,333
 8:13,45.35,-475,190,294
 8:13,45.37,-207,-99,352
 8:13,45.38,-424,420,298
 8:13,45.39,-274,289,336
 8:13,45.41,-456,120,297
 8:13,45.42,-450,397,300
 8:13,45.44,-295,-172,342
 8:13,45.45,-301,345,327
 8:13,45.46,-208,25,361
 8:13,45.48,-468,364,295
 8:13,45.49,-333,388,321
