sep=,,,,
,,,,
June 8. 2018,,,,
Sensor Datalog,,,,
Time,Time,Mag Field(XYZ),,
[h:m],[s],[mGauss],[mGauss],[mGauss]
 8:14,28.41,-462,-78,315
 8:14,28.42,-462,313,280
 8:14,28.43,-292,-127,367
 8:14,28.45,-450,-129,325
 8:14,28.46,-219,315,342
 8:14,28.48,-483,222,274
 8:14,28.49,-358,523,285
 8:14,28.5,-424,-153,327
 8:14,28.51,-238,376,345
 8:14,28.53,-252,-16,375
 8:14,28.55,-387,505,282
 8:14,28.56,-249,436,318
 8:14,28.57,-475,84,294
 8:14,28.58,-235,51,367
 8:14,28.6,-360,-184,349
 8:14,28.61,-271,486,315
 8:14,28.63,-220,142,361
 8:14,28.64,-441,396,276
 8:14,28.66,-336,-168,360
 8:14,28.67,-469,-66,307
 8:14,28.68,-229,226,360
 8:14,28.69,-306,-133,376
 8:14,28.71,-327,532,292
 8:14,28.72,-448,-120,334
 8:14,28.74,-475,238,276
 8:14,28.75,-285,-79,370
 8:14,28.76,-421,-166,333
 8:14,28.78,-243,376,334
 8:14,28.79,-486,156,280
 8:14,28.8,-388,490,277
 8:14,28.82,-396,-187,349
 8:14,28.83,-487,63,291
 8:14,28.85,-235,70,364
 8:14,28.86,-409,448,270
 8:14,28.87,-270,493,306
 8:14,28.89,-475,-4,295
 8:14,28.9,-228,150,277
 8:14,28.92,-328,-160,355
 8:14,28.93,-300,520,303
 8:14,28.94,-220,235,352
 8:14,28.96,-466,310,268
 8:14,28.97,-307,-129,363
 8:14,28.98,-447,-126,324
 8:14,29,-220,315,343
 8:14,29.01,-273,-72,372
 8:14,29.03,-349,522,286
 8:14,29.04,-411,-163,334
 8:14,29.05,-487,141,291
 8:14,29.07,-249,3,369
 8:14,29.08,-390,-183,346
 8:14,29.09,-264,453,321
 8:14,29.11,-484,60,288
 8:14,29.12,-420,439,274
 8:14,29.14,-363,-186,355
 8:14,29.15,-480,9,298
 8:14,29.16,-228,139,361
 8:14,29.18,-441,390,282
 8:14,29.19,-303,517,300
 8:14,29.21,-462,-72,319
 8:14,29.22,-463,313,268
 8:14,29.23,-297,-130,360
 8:14,29.25,-325,534,291
 8:14,29.26,-222,319,351
 8:14,29.27,-481,216,279
 8:14,29.29,-369,525,283
 8:14,29.3,-418,-163,337
 8:14,29.32,-235,396,330
 8:14,29.33,-255,1,372
 8:14,29.34,-400,487,273
 8:14,29.35,-385,-186,345
 8:14,29.37,-478,49,297
 8:14,29.38,-234,87,357
 8:14,29.4,-352,-178,351
 8:14,29.41,-271,498,306
 8:14,29.42,-468,-22,301
 8:14,29.44,-445,363,276
 8:14,29.45,-321,-154,363
 8:14,29.46,-457,-94,322
 8:14,29.48,-217,261,351
 8:14,29.5,-475,285,277
 8:14,29.51,-343,537,295
 8:14,29.52,-424,-138,325
 8:14,29.53,-486,198,276
 8:14,29.55,-268,-48,366
 8:14,29.56,-373,507,286
 8:14,29.58,-243,415,336
 8:14,29.59,-484,114,292
 8:14,29.6,-399,472,273
 8:14,29.62,-381,-184,342
 8:14,29.63,-268,472,312
 8:14,29.64,-225,106,355
 8:14,29.66,-429,414,274
 8:14,29.67,-288,513,306
 8:14,29.69,-477,-46,309
 8:14,29.7,-219,201,360
 8:14,29.71,-316,-145,363
 8:14,29.73,-313,531,298
 8:14,29.74,-223,289,346
 8:14,29.75,-474,259,280
 8:14,29.77,-295,-114,367
 8:14,29.78,-433,-156,328
 8:14,29.8,-220,351,336
 8:14,29.81,-486,187,277
 8:14,29.82,-372,516,282
 8:14,29.84,-406,-174,336
 8:14,29.85,-484,109,288
 8:14,29.87,-243,33,370
 8:14,29.88,-400,472,276
 8:14,29.89,-258,483,312
 8:14,29.91,-483,28,295
 8:14,29.92,-438,408,274
 8:14,29.93,-345,-172,364
 8:14,29.95,-292,508,306
 8:14,29.96,-223,201,348
 8:14,29.98,-457,340,267
 8:14,29.99,-315,531,301
 8:14,30,-454,-115,318
 8:14,30.01,-217,297,343
 8:14,30.03,-277,-87,364
 8:14,30.04,-357,520,289
 8:14,30.06,-234,375,334
 8:14,30.07,-481,166,282
 8:14,30.08,-261,-24,378
 8:14,30.1,-396,-193,346
 8:14,30.11,-247,439,325
 8:14,30.13,-237,61,372
 8:14,30.14,-406,445,276
 8:14,30.16,-360,-186,363
 8:14,30.17,-474,-4,294
 8:14,30.18,-225,141,369
 8:14,30.19,-324,-166,364
 8:14,30.21,-298,517,298
 8:14,30.22,-466,-72,312
 8:14,30.24,-460,306,270
 8:14,30.25,-301,-130,364
 8:14,30.26,-325,537,289
 8:14,30.28,-226,316,345
 8:14,30.29,-477,222,274
 8:14,30.3,-357,519,286
 8:14,30.32,-426,-166,346
 8:14,30.33,-238,390,333
 8:14,30.35,-264,0,366
 8:14,30.36,-390,487,285
 8:14,30.37,-255,459,322
 8:14,30.39,-481,54,298
 8:14,30.4,-241,61,369
 8:14,30.41,-373,-180,360
 8:14,30.43,-276,489,313
 8:14,30.44,-220,150,367
 8:14,30.46,-451,390,277
 8:14,30.47,-331,-168,357
 8:14,30.48,-466,-67,324
 8:14,30.5,-220,243,355
 8:14,30.51,-297,-126,367
 8:14,30.53,-328,528,294
 8:14,30.54,-444,-123,324
 8:14,30.55,-478,226,285
 8:14,30.57,-270,-63,370
 8:14,30.58,-420,-180,337
 8:14,30.59,-234,400,336
 8:14,30.61,-490,130,285
 8:14,30.62,-403,487,274
 8:14,30.64,-384,-192,348
 8:14,30.65,-487,57,303
 8:14,30.66,-229,88,361
 8:14,30.67,-424,427,273
 8:14,30.69,-277,507,316
 8:14,30.7,-480,-25,303
 8:14,30.72,-214,183,357
 8:14,30.73,-327,-156,358
 8:14,30.75,-301,534,295
 8:14,30.76,-228,259,346
 8:14,30.77,-466,283,280
 8:14,30.79,-288,-106,360
 8:14,30.8,-429,-145,327
 8:14,30.82,-229,340,346
 8:14,30.83,-265,-54,364
 8:14,30.84,-373,514,276
 8:14,30.85,-409,-178,342
 8:14,30.87,-486,112,292
 8:14,30.88,-243,24,373
 8:14,30.9,-373,-180,355
 8:14,30.91,-256,471,316
 8:14,30.92,-486,30,307
 8:14,30.94,-430,421,277
 8:14,30.95,-345,-177,358
 8:14,30.96,-469,-34,312
 8:14,30.98,-220,190,358
 8:14,30.99,-451,355,271
 8:14,31.01,-316,537,298
 8:14,31.02,-457,-102,315
 8:14,31.03,-469,289,276
 8:14,31.05,-292,-112,361
 8:14,31.06,-339,532,298
 8:14,31.07,-226,345,345
 8:14,31.09,-486,202,280
 8:14,31.1,-265,-60,373
 8:14,31.12,-409,-177,336
 8:14,31.13,-241,408,327
 8:14,31.14,-247,18,367
 8:14,31.16,-399,472,270
 8:14,31.17,-376,-189,349
 8:14,31.19,-489,36,301
 8:14,31.2,-229,100,363
 8:14,31.21,-346,-184,355
 8:14,31.23,-288,516,306
 8:14,31.24,-466,-30,307
 8:14,31.25,-457,357,276
 8:14,31.27,-319,-151,363
 8:14,31.28,-450,-99,319
 8:14,31.3,-220,276,354
 8:14,31.31,-474,286,280
 8:14,31.32,-337,531,289
 8:14,31.33,-430,-148,331
 8:14,31.35,-480,187,277
 8:14,31.36,-267,-40,363
 8:14,31.38,-384,510,276
 8:14,31.39,-246,420,322
 8:14,31.41,-481,111,289
 8:14,31.42,-409,472,271
 8:14,31.43,-379,-186,354
 8:14,31.45,-267,475,315
 8:14,31.46,-225,114,361
 8:14,31.48,-432,418,276
 8:14,31.49,-345,-177,309
 8:14,31.5,-474,-49,306
 8:14,31.51,-216,198,349
 8:14,31.53,-316,-141,370
 8:14,31.54,-306,531,289
 8:14,31.56,-450,-106,319
 8:14,31.57,-471,267,280
 8:14,31.58,-283,-100,369
 8:14,31.6,-423,-159,327
 8:14,31.61,-232,360,336
 8:14,31.62,-487,192,279
 8:14,31.64,-382,507,285
 8:14,31.65,-406,-192,346
 8:14,31.67,-489,115,286
 8:14,31.68,-246,24,370
 8:14,31.69,-397,475,279
 8:14,31.71,-258,463,319
 8:14,31.72,-480,37,295
 8:14,31.74,-430,423,276
 8:14,31.75,-348,-178,354
 8:14,31.76,-279,501,304
 8:14,31.78,-213,190,355
 8:14,31.79,-454,351,271
 8:14,31.8,-313,528,298
 8:14,31.82,-456,-100,322
 8:14,31.83,-211,274,346
 8:14,31.85,-285,-100,375
 8:14,31.86,-346,525,289
 8:14,31.87,-234,349,339
 8:14,31.89,-481,189,288
 8:14,31.9,-264,-40,370
 8:14,31.91,-405,-177,340
 8:14,31.93,-250,423,322
 8:14,31.94,-489,102,283
 8:14,31.96,-408,469,280
 8:14,31.97,-384,-190,351
 8:14,31.98,-480,24,292
 8:14,32,-225,114,369
 8:14,32.01,-433,414,274
 8:14,32.02,-289,510,304
 8:14,32.04,-471,-48,309
 8:14,32.05,-463,346,267
 8:14,32.07,-316,-144,367
 8:14,32.08,-324,529,300
 8:14,32.09,-228,288,343
 8:14,32.11,-475,258,273
 8:14,32.12,-354,525,282
 8:14,32.14,-415,-153,328
 8:14,32.15,-228,363,337
 8:14,32.16,-264,-30,376
 8:14,32.17,-382,501,274
 8:14,32.19,-244,435,322
 8:14,32.2,-480,88,291
 8:14,32.22,-240,45,370
 8:14,32.23,-370,-190,348
 8:14,32.25,-270,484,312
 8:14,32.26,-225,124,360
 8:14,32.27,-438,394,279
 8:14,32.28,-340,-165,361
 8:14,32.3,-472,-49,307
 8:14,32.31,-220,199,360
 8:14,32.33,-453,346,271
