sep=,,,,
,,,,
June 8. 2018,,,,
Sensor Datalog,,,,
Time,Time,Mag Field(XYZ),,
[h:m],[s],[mGauss],[mGauss],[mGauss]
 8:12,37.04,-324,-117,348
 8:12,37.05,-486,-177,310
 8:12,37.07,-168,358,324
 8:12,37.08,-282,-46,355
 8:12,37.09,-300,499,250
 8:12,37.1,-463,-208,328
 8:12,37.12,-499,67,265
 8:12,37.13,-238,40,357
 8:12,37.15,-438,-219,342
 8:12,37.16,-187,486,292
 8:12,37.17,-516,-18,270
 8:12,37.19,-379,381,240
 8:12,37.2,-397,-196,352
 8:12,37.21,-510,-100,292
 8:12,37.23,-184,228,345
 8:12,37.24,-423,307,243
 8:12,37.26,-241,532,268
 8:12,37.27,-496,-147,301
 8:12,37.28,-456,211,253
 8:12,37.3,-306,-90,360
 8:12,37.31,-267,531,255
 8:12,37.33,-171,382,318
 8:12,37.34,-480,145,253
 8:12,37.35,-303,501,252
 8:12,37.37,-457,-210,330
 8:12,37.38,-180,439,303
 8:12,37.39,-244,46,360
 8:12,37.41,-340,442,247
 8:12,37.42,-178,493,289
 8:12,37.44,-510,-31,277
 8:12,37.45,-217,141,348
 8:12,37.46,-397,-195,349
 8:12,37.48,-216,522,277
 8:12,37.49,-502,-109,295
 8:12,37.5,-427,286,253
 8:12,37.52,-339,-148,357
 8:12,37.53,-496,-157,307
 8:12,37.55,-169,325,325
 8:12,37.56,-463,213,253
 8:12,37.57,-286,513,249
 8:12,37.59,-475,-202,319
 8:12,37.6,-487,105,259
 8:12,37.62,-265,0,363
 8:12,37.63,-313,478,244
 8:12,37.64,-183,469,303
 8:12,37.66,-502,19,265
 8:12,37.67,-363,424,243
 8:12,37.68,-418,-201,343
 8:12,37.7,-196,507,283
 8:12,37.71,-195,187,343
 8:12,37.73,-397,339,243
 8:12,37.74,-225,531,265
 8:12,37.75,-507,-129,295
 8:12,37.76,-180,283,340
 8:12,37.78,-331,-126,357
 8:12,37.79,-255,535,258
 8:12,37.81,-175,357,325
 8:12,37.82,-471,168,255
 8:12,37.83,-289,-51,361
 8:12,37.85,-465,-210,333
 8:12,37.86,-172,424,309
 8:12,37.88,-252,25,355
 8:12,37.89,-336,456,247
 8:12,37.91,-438,-216,334
 8:12,37.92,-511,-12,274
 8:12,37.93,-223,126,349
 8:12,37.94,-417,-199,349
 8:12,37.96,-202,516,286
 8:12,37.97,-519,-70,279
 8:12,37.99,-411,331,252
 8:12,38,-367,-162,352
 8:12,38.01,-231,523,267
 8:12,38.03,-180,282,330
 8:12,38.04,-447,235,247
 8:12,38.05,-267,528,255
 8:12,38.07,-475,-190,316
 8:12,38.08,-174,369,319
 8:12,38.1,-280,-42,354
 8:12,38.11,-297,498,255
 8:12,38.12,-168,435,310
 8:12,38.14,-493,60,267
 8:12,38.15,-240,48,364
 8:12,38.17,-430,-208,349
 8:12,38.18,-186,489,297
 8:12,38.19,-214,139,358
 8:12,38.21,-388,387,241
 8:12,38.22,-393,-192,349
 8:12,38.23,-508,-97,292
 8:12,38.25,-175,235,345
 8:12,38.26,-363,-142,358
 8:12,38.28,-240,535,267
 8:12,38.29,-492,-160,306
 8:12,38.3,-460,208,246
 8:12,38.32,-315,-84,357
 8:12,38.33,-481,-196,319
 8:12,38.34,-168,402,315
 8:12,38.36,-484,118,256
 8:12,38.37,-310,483,247
 8:12,38.39,-451,-213,337
 8:12,38.4,-501,21,271
 8:12,38.41,-226,82,361
 8:12,38.42,-361,429,240
 8:12,38.44,-192,505,291
 8:12,38.45,-513,-52,276
 8:12,38.47,-210,169,348
 8:12,38.48,-373,-175,348
 8:12,38.5,-223,525,267
 8:12,38.51,-181,268,345
 8:12,38.52,-432,264,250
 8:12,38.54,-334,-120,360
 8:12,38.55,-487,-177,325
 8:12,38.57,-175,352,321
 8:12,38.58,-307,-69,352
 8:12,38.59,-276,514,253
 8:12,38.6,-480,-193,321
 8:12,38.62,-489,103,267
 8:12,38.63,-265,13,361
 8:12,38.65,-448,-216,334
 8:12,38.66,-178,468,297
 8:12,38.67,-504,10,265
 8:12,38.69,-367,417,244
 8:12,38.7,-415,-202,351
 8:12,38.71,-507,-69,289
 8:12,38.73,-198,196,346
 8:12,38.74,-411,337,247
 8:12,38.76,-231,538,268
