sep=,

June 15. 2018
Sensor Datalog
Time,Time,Pressure,Temperature,Humidity,Acceleration(XYZ),,,Angular Rate(XYZ),,,Mag Field(XYZ),,,
[h:m],[s],[hPa],[°C],[%],[mg],[mg],[mg],[mdps],[mdps],[mdps],[mGauss],[mGauss],[mGauss],
 9:15,14.70,,,,,,,,,,244,520,39,
 9:15,14.71,,,,,,,,,,217,277,-129,
 9:15,14.73,,,,,,,,,,237,360,322,
 9:15,14.74,,,,,,,,,,237,202,264,
 9:15,14.75,,,,,,,,,,237,531,-49,
 9:15,14.77,,,,,,,,,,255,408,268,
 9:15,14.78,,,,,,,,,,225,427,-265,
 9:15,14.80,,,,,,,,,,241,223,318,
 9:15,14.81,,,,,,,,,,228,204,27,
 9:15,14.82,,,,,,,,,,253,454,207,
 9:15,14.83,,,,,,,,,,238,268,348,
 9:15,14.85,,,,,,,,,,235,523,-193,
 9:15,14.86,,,,,,,,,,232,193,124,
 9:15,14.88,,,,,,,,,,222,316,-201,
 9:15,14.89,,,,,,,,,,241,306,340,
 9:15,14.91,,,,,,,,,,229,189,198,
 9:15,14.92,,,,,,,,,,240,525,45,
 9:15,14.93,,,,,,,,,,222,283,-142,
 9:15,14.95,,,,,,,,,,231,474,-276,
 9:15,14.96,,,,,,,,,,238,198,256,
 9:15,14.98,,,,,,,,,,225,250,-84,
 9:15,14.99,,,,,,,,,,244,396,295,
 9:15,15.00,,,,,,,,,,232,442,-274,
 9:15,15.01,,,,,,,,,,243,543,-103,
 9:15,15.03,,,,,,,,,,226,217,3,
 9:15,15.04,,,,,,,,,,228,396,-268,
 9:15,15.06,,,,,,,,,,246,246,337,
 9:15,15.07,,,,,,,,,,234,534,-168,
 9:15,15.08,,,,,,,,,,250,475,160,
 9:15,15.10,,,,,,,,,,219,348,-220,
 9:15,15.11,,,,,,,,,,237,513,-235,
 9:15,15.12,,,,,,,,,,226,187,175,
 9:15,15.14,,,,,,,,,,253,511,78,
 9:15,15.15,,,,,,,,,,255,337,333,
 9:15,15.17,,,,,,,,,,229,483,-261,
 9:15,15.18,,,,,,,,,,252,535,-7,
 9:15,15.19,,,,,,,,,,225,256,-85,
 9:15,15.21,,,,,,,,,,243,385,300,
 9:15,15.22,,,,,,,,,,243,217,307,
 9:15,15.24,,,,,,,,,,235,549,-85,
 9:15,15.25,,,,,,,,,,223,219,-13,
 9:15,15.26,,,,,,,,,,225,402,-264,
 9:15,15.28,,,,,,,,,,235,244,336,
 9:15,15.29,,,,,,,,,,220,205,78,
 9:15,15.30,,,,,,,,,,241,469,168,
 9:15,15.32,,,,,,,,,,217,349,-220,
 9:15,15.33,,,,,,,,,,238,514,-219,
 9:15,15.35,,,,,,,,,,231,186,157,
 9:15,15.36,,,,,,,,,,231,297,-174,
 9:15,15.37,,,,,,,,,,237,327,337,
 9:15,15.39,,,,,,,,,,235,498,-261,
 9:15,15.40,,,,,,,,,,235,540,-3,
 9:15,15.41,,,,,,,,,,231,264,-106,
 9:15,15.43,,,,,,,,,,226,448,-268,
 9:15,15.44,,,,,,,,,,240,213,288,
 9:15,15.46,,,,,,,,,,244,549,-79,
 9:15,15.47,,,,,,,,,,246,430,256,
 9:15,15.48,,,,,,,,,,225,406,-258,
 9:15,15.50,,,,,,,,,,238,535,-148,
 9:15,15.51,,,,,,,,,,226,202,66,
