sep=,

June 15. 2018
Sensor Datalog
Time,Time,Pressure,Temperature,Humidity,Acceleration(XYZ),,,Angular Rate(XYZ),,,Mag Field(XYZ),,,
[h:m],[s],[hPa],[°C],[%],[mg],[mg],[mg],[mdps],[mdps],[mdps],[mGauss],[mGauss],[mGauss],
 9:15,40.53,,,,,,,,,,234,198,84,
 9:15,40.54,,,,,,,,,,223,352,-232,
 9:15,40.55,,,,,,,,,,241,295,343,
 9:15,40.57,,,,,,,,,,226,186,166,
 9:15,40.58,,,,,,,,,,240,508,76,
 9:15,40.60,,,,,,,,,,220,298,-177,
 9:15,40.61,,,,,,,,,,225,487,-262,
 9:15,40.62,,,,,,,,,,232,190,231,
 9:15,40.64,,,,,,,,,,241,255,-97,
 9:15,40.65,,,,,,,,,,247,381,301,
 9:15,40.66,,,,,,,,,,214,448,-276,
 9:15,40.68,,,,,,,,,,240,543,-79,
 9:15,40.69,,,,,,,,,,219,229,-13,
 9:15,40.71,,,,,,,,,,240,435,244,
 9:15,40.72,,,,,,,,,,247,235,333,
 9:15,40.73,,,,,,,,,,234,537,-163,
 9:15,40.75,,,,,,,,,,253,471,163,
 9:15,40.76,,,,,,,,,,217,349,-229,
 9:15,40.78,,,,,,,,,,244,277,340,
 9:15,40.79,,,,,,,,,,232,187,150,
 9:15,40.80,,,,,,,,,,249,508,88,
 9:15,40.82,,,,,,,,,,246,318,345,
 9:15,40.83,,,,,,,,,,234,498,-250,
 9:15,40.84,,,,,,,,,,229,196,219,
 9:15,40.86,,,,,,,,,,222,268,-117,
 9:15,40.87,,,,,,,,,,255,364,315,
 9:15,40.89,,,,,,,,,,232,204,274,
 9:15,40.90,,,,,,,,,,244,541,-57,
 9:15,40.91,,,,,,,,,,223,225,-49,
 9:15,40.92,,,,,,,,,,231,420,-271,
 9:15,40.94,,,,,,,,,,241,228,319,
 9:15,40.95,,,,,,,,,,234,208,46,
 9:15,40.97,,,,,,,,,,252,465,199,
 9:15,40.98,,,,,,,,,,231,363,-240,
 9:15,41.00,,,,,,,,,,235,529,-202,
 9:15,41.01,,,,,,,,,,229,193,127,
 9:15,41.02,,,,,,,,,,223,318,-187,
 9:15,41.04,,,,,,,,,,255,310,343,
 9:15,41.05,,,,,,,,,,237,510,-247,
 9:15,41.07,,,,,,,,,,240,516,31,
 9:15,41.08,,,,,,,,,,226,270,-132,
 9:15,41.09,,,,,,,,,,229,463,-271,
 9:15,41.10,,,,,,,,,,231,205,271,
 9:15,41.12,,,,,,,,,,232,541,-51,
 9:15,41.13,,,,,,,,,,244,414,271,
 9:15,41.15,,,,,,,,,,222,421,-270,
 9:15,41.16,,,,,,,,,,237,537,-127,
 9:15,41.17,,,,,,,,,,225,205,40,
 9:15,41.19,,,,,,,,,,243,450,205,
 9:15,41.20,,,,,,,,,,247,255,340,
 9:15,41.21,,,,,,,,,,232,532,-195,
 9:15,41.23,,,,,,,,,,255,489,129,
 9:15,41.24,,,,,,,,,,223,325,-199,
 9:15,41.26,,,,,,,,,,243,307,345,
 9:15,41.27,,,,,,,,,,232,186,198,
 9:15,41.28,,,,,,,,,,249,525,37,
 9:15,41.30,,,,,,,,,,246,357,322,
 9:15,41.31,,,,,,,,,,228,474,-267,
 9:15,41.33,,,,,,,,,,240,195,261,
 9:15,41.34,,,,,,,,,,222,243,-58,
 9:15,41.35,,,,,,,,,,246,402,277,
 9:15,41.37,,,,,,,,,,237,226,316,
 9:15,41.38,,,,,,,,,,247,549,-124,
 9:15,41.39,,,,,,,,,,223,214,24,
 9:15,41.41,,,,,,,,,,214,381,-255,
 9:15,41.42,,,,,,,,,,244,262,333,
 9:15,41.44,,,,,,,,,,229,195,108,
 9:15,41.45,,,,,,,,,,246,483,151,
 9:15,41.46,,,,,,,,,,213,336,-211,
 9:15,41.48,,,,,,,,,,229,517,-232,
 9:15,41.49,,,,,,,,,,231,189,168,
 9:15,41.50,,,,,,,,,,220,285,-154,
 9:15,41.52,,,,,,,,,,243,345,330,
 9:15,41.53,,,,,,,,,,226,484,-265,
 9:15,41.55,,,,,,,,,,246,528,-12,
 9:15,41.56,,,,,,,,,,223,255,-84,
 9:15,41.57,,,,,,,,,,243,391,-271,
 9:15,41.59,,,,,,,,,,241,214,301,
 9:15,41.60,,,,,,,,,,241,549,-93,
 9:15,41.62,,,,,,,,,,250,438,235,
 9:15,41.63,,,,,,,,,,223,396,-261,
 9:15,41.64,,,,,,,,,,246,246,330,
 9:15,41.66,,,,,,,,,,231,205,87,
 9:15,41.67,,,,,,,,,,249,483,157,
 9:15,41.68,,,,,,,,,,241,291,346,
 9:15,41.70,,,,,,,,,,226,516,-228,
 9:15,41.71,,,,,,,,,,228,184,165,
 9:15,41.73,,,,,,,,,,223,291,-166,
 9:15,41.74,,,,,,,,,,249,334,337,
 9:15,41.75,,,,,,,,,,235,190,241,
 9:15,41.76,,,,,,,,,,238,534,-7,
 9:15,41.78,,,,,,,,,,213,259,-82,
 9:15,41.79,,,,,,,,,,228,451,-277,
 9:15,41.81,,,,,,,,,,246,204,303,
 9:15,41.82,,,,,,,,,,228,214,-7,
 9:15,41.83,,,,,,,,,,240,436,240,
 9:15,41.85,,,,,,,,,,220,402,-265,
 9:15,41.86,,,,,,,,,,241,541,-166,
 9:15,41.87,,,,,,,,,,226,198,82,
 9:15,41.89,,,,,,,,,,217,352,-223,
 9:15,41.91,,,,,,,,,,250,285,343,
 9:15,41.92,,,,,,,,,,232,517,-229,
 9:15,41.93,,,,,,,,,,244,510,76,
 9:15,41.94,,,,,,,,,,219,303,-168,
 9:15,41.96,,,,,,,,,,234,484,-262,
 9:15,41.97,,,,,,,,,,234,198,243,
 9:15,41.99,,,,,,,,,,244,532,-10,
 9:15,42.00,,,,,,,,,,244,387,297,
 9:15,42.01,,,,,,,,,,220,447,-274,
 9:15,42.03,,,,,,,,,,237,546,-93,
 9:15,42.04,,,,,,,,,,226,222,-4,
 9:15,42.05,,,,,,,,,,250,433,241,
 9:15,42.07,,,,,,,,,,238,244,334,
 9:15,42.08,,,,,,,,,,240,540,-150,
 9:15,42.10,,,,,,,,,,249,466,178,
 9:15,42.11,,,,,,,,,,220,366,-232,
 9:15,42.12,,,,,,,,,,238,271,342,
 9:15,42.14,,,,,,,,,,231,187,150,
 9:15,42.15,,,,,,,,,,253,495,96,
 9:15,42.17,,,,,,,,,,250,327,345,
 9:15,42.18,,,,,,,,,,225,492,-267,
 9:15,42.19,,,,,,,,,,234,190,216,
 9:15,42.21,,,,,,,,,,217,262,-120,
 9:15,42.22,,,,,,,,,,249,376,306,
 9:15,42.23,,,,,,,,,,235,208,276,
 9:15,42.25,,,,,,,,,,240,543,-70,
 9:15,42.26,,,,,,,,,,223,232,-43,
 9:15,42.28,,,,,,,,,,228,414,-271,
 9:15,42.29,,,,,,,,,,234,234,315,
 9:15,42.30,,,,,,,,,,226,196,48,
 9:15,42.32,,,,,,,,,,244,466,193,
 9:15,42.33,,,,,,,,,,219,361,-243,
 9:15,42.34,,,,,,,,,,237,525,-211,
 9:15,42.36,,,,,,,,,,223,187,142,
 9:15,42.37,,,,,,,,,,220,318,-186,
 9:15,42.39,,,,,,,,,,244,315,340,
 9:15,42.40,,,,,,,,,,228,501,-258,
 9:15,42.41,,,,,,,,,,241,528,22,
 9:15,42.42,,,,,,,,,,225,274,-118,
 9:15,42.44,,,,,,,,,,225,462,-274,
 9:15,42.46,,,,,,,,,,234,201,268,
 9:15,42.47,,,,,,,,,,247,541,-64,
 9:15,42.48,,,,,,,,,,246,411,264,
 9:15,42.50,,,,,,,,,,229,418,-262,
 9:15,42.51,,,,,,,,,,229,541,-151,
 9:15,42.52,,,,,,,,,,226,207,43,
 9:15,42.54,,,,,,,,,,247,454,196,
 9:15,42.55,,,,,,,,,,247,268,343,
 9:15,42.57,,,,,,,,,,231,528,-201,
 9:15,42.58,,,,,,,,,,250,502,123,
 9:15,42.59,,,,,,,,,,219,324,-201,
 9:15,42.60,,,,,,,,,,244,306,354,
 9:15,42.62,,,,,,,,,,235,190,213,
 9:15,42.63,,,,,,,,,,243,520,21,
 9:15,42.65,,,,,,,,,,253,361,315,
 9:15,42.66,,,,,,,,,,223,465,-277,
 9:15,42.67,,,,,,,,,,237,193,262,
 9:15,42.69,,,,,,,,,,226,235,-49,
 9:15,42.70,,,,,,,,,,255,414,261,
 9:15,42.71,,,,,,,,,,222,433,-267,
 9:15,42.73,,,,,,,,,,237,543,-117,
 9:15,42.75,,,,,,,,,,223,205,18,
 9:15,42.76,,,,,,,,,,228,384,-264,
 9:15,42.77,,,,,,,,,,238,246,336,
 9:15,42.78,,,,,,,,,,231,537,-183,
 9:15,42.80,,,,,,,,,,252,495,135,
 9:15,42.81,,,,,,,,,,217,327,-207,
 9:15,42.83,,,,,,,,,,234,513,-238,
 9:15,42.84,,,,,,,,,,225,190,187,
 9:15,42.85,,,,,,,,,,249,516,42,
 9:15,42.87,,,,,,,,,,246,354,327,
 9:15,42.88,,,,,,,,,,225,477,-262,
 9:15,42.89,,,,,,,,,,241,541,-39,
 9:15,42.91,,,,,,,,,,226,235,-63,
 9:15,42.92,,,,,,,,,,255,396,273,
 9:15,42.94,,,,,,,,,,235,214,304,
 9:15,42.95,,,,,,,,,,231,546,-120,
 9:15,42.96,,,,,,,,,,252,451,217,
 9:15,42.98,,,,,,,,,,219,378,-249,
 9:15,42.99,,,,,,,,,,246,256,345,
 9:15,43.00,,,,,,,,,,225,190,100,
 9:15,43.02,,,,,,,,,,256,487,144,
 9:15,43.03,,,,,,,,,,246,298,342,
 9:15,43.05,,,,,,,,,,229,510,-238,
 9:15,43.06,,,,,,,,,,231,192,180,
 9:15,43.07,,,,,,,,,,220,283,-147,
 9:15,43.09,,,,,,,,,,253,345,322,
 9:15,43.10,,,,,,,,,,235,196,247,
 9:15,43.12,,,,,,,,,,240,546,-34,
 9:15,43.13,,,,,,,,,,219,243,-75,
 9:15,43.14,,,,,,,,,,229,432,-283,
 9:15,43.16,,,,,,,,,,238,225,310,
 9:15,43.17,,,,,,,,,,228,208,16,
 9:15,43.18,,,,,,,,,,247,444,213,
 9:15,43.20,,,,,,,,,,225,388,-249,
 9:15,43.21,,,,,,,,,,237,531,-175,
 9:15,43.23,,,,,,,,,,220,198,96,
 9:15,43.24,,,,,,,,,,222,333,-220,
 9:15,43.25,,,,,,,,,,249,297,351,
 9:15,43.26,,,,,,,,,,231,508,-235,
 9:15,43.28,,,,,,,,,,246,513,57,
 9:15,43.29,,,,,,,,,,217,283,-151,
 9:15,43.31,,,,,,,,,,235,475,-265,
 9:15,43.32,,,,,,,,,,237,193,253,
 9:15,43.33,,,,,,,,,,244,543,-39,
 9:15,43.35,,,,,,,,,,250,387,292,
 9:15,43.36,,,,,,,,,,220,441,-282,
 9:15,43.38,,,,,,,,,,237,547,-94,
 9:15,43.39,,,,,,,,,,226,219,-7,
 9:15,43.41,,,,,,,,,,249,435,240,
 9:15,43.42,,,,,,,,,,241,253,331,
 9:15,43.43,,,,,,,,,,238,538,-168,
 9:15,43.44,,,,,,,,,,246,472,169,
 9:15,43.46,,,,,,,,,,220,340,-222,
 9:15,43.47,,,,,,,,,,249,282,339,
 9:15,43.49,,,,,,,,,,228,187,160,
 9:15,43.50,,,,,,,,,,240,504,76,
 9:15,43.51,,,,,,,,,,244,336,330,
 9:15,43.53,,,,,,,,,,223,478,-262,
 9:15,43.54,,,,,,,,,,226,189,238,
 9:15,43.55,,,,,,,,,,220,249,-91,
 9:15,43.57,,,,,,,,,,249,387,294,
 9:15,43.58,,,,,,,,,,243,210,300,
 9:15,43.60,,,,,,,,,,237,540,-96,
 9:15,43.61,,,,,,,,,,226,219,-3,
 9:15,43.62,,,,,,,,,,225,399,-256,
 9:15,43.64,,,,,,,,,,237,244,340,
 9:15,43.65,,,,,,,,,,219,196,79,
 9:15,43.67,,,,,,,,,,244,480,157,
 9:15,43.68,,,,,,,,,,219,343,-222,
 9:15,43.69,,,,,,,,,,241,519,-225,
 9:15,43.71,,,,,,,,,,232,193,168,
 9:15,43.72,,,,,,,,,,219,297,-171,
 9:15,43.73,,,,,,,,,,252,334,337,
 9:15,43.75,,,,,,,,,,229,492,-262,
 9:15,43.76,,,,,,,,,,250,532,-16,
 9:15,43.78,,,,,,,,,,220,249,-90,
 9:15,43.79,,,,,,,,,,225,448,-271,
 9:15,43.80,,,,,,,,,,237,213,295,
 9:15,43.82,,,,,,,,,,241,543,-94,
 9:15,43.83,,,,,,,,,,250,427,231,
 9:15,43.84,,,,,,,,,,217,393,-262,
 9:15,43.86,,,,,,,,,,234,541,-163,
 9:15,43.87,,,,,,,,,,223,198,84,
 9:15,43.89,,,,,,,,,,247,469,156,
 9:15,43.90,,,,,,,,,,250,280,337,
 9:15,43.91,,,,,,,,,,232,519,-223,
 9:15,43.93,,,,,,,,,,229,192,168,
 9:15,43.94,,,,,,,,,,216,292,-166,
 9:15,43.96,,,,,,,,,,246,331,328,
 9:15,43.97,,,,,,,,,,231,190,226,
 9:15,43.98,,,,,,,,,,250,531,16,
 9:15,44.00,,,,,,,,,,220,262,-112,
 9:15,44.01,,,,,,,,,,229,457,-271,
 9:15,44.02,,,,,,,,,,228,214,279,
 9:15,44.04,,,,,,,,,,219,228,-31,
 9:15,44.05,,,,,,,,,,243,420,255,
 9:15,44.07,,,,,,,,,,226,412,-270,
 9:15,44.08,,,,,,,,,,232,550,-147,
 9:15,44.09,,,,,,,,,,231,199,54,
 9:15,44.10,,,,,,,,,,229,360,-246,
 9:15,44.12,,,,,,,,,,244,274,340,
 9:15,44.13,,,,,,,,,,223,522,-208,
 9:15,44.15,,,,,,,,,,255,495,108,
 9:15,44.16,,,,,,,,,,226,315,-189,
 9:15,44.17,,,,,,,,,,232,499,-247,
 9:15,44.19,,,,,,,,,,235,181,208,
 9:15,44.20,,,,,,,,,,246,525,28,
 9:15,44.22,,,,,,,,,,244,372,313,
 9:15,44.23,,,,,,,,,,225,465,-264,
 9:15,44.25,,,,,,,,,,247,534,-61,
 9:15,44.26,,,,,,,,,,223,225,-37,
 9:15,44.27,,,,,,,,,,255,409,268,
 9:15,44.28,,,,,,,,,,241,225,319,
 9:15,44.30,,,,,,,,,,232,543,-139,
 9:15,44.31,,,,,,,,,,252,465,198,
 9:15,44.33,,,,,,,,,,216,366,-243,
 9:15,44.34,,,,,,,,,,241,262,342,
 9:15,44.35,,,,,,,,,,231,190,127,
 9:15,44.37,,,,,,,,,,255,499,112,
 9:15,44.38,,,,,,,,,,238,313,343,
 9:15,44.39,,,,,,,,,,225,502,-244,
 9:15,44.41,,,,,,,,,,226,190,207,
 9:15,44.42,,,,,,,,,,220,276,-132,
 9:15,44.44,,,,,,,,,,240,361,318,
 9:15,44.45,,,,,,,,,,237,207,174,
 9:15,44.46,,,,,,,,,,237,465,81,
 9:15,44.48,,,,,,,,,,217,433,-175,
 9:15,44.49,,,,,,,,,,208,502,-82,
 9:15,44.51,,,,,,,,,,246,249,48,
 9:15,44.52,,,,,,,,,,231,387,-153,
 9:15,44.53,,,,,,,,,,255,264,250,
 9:15,44.55,,,,,,,,,,216,496,-132,
 9:15,44.56,,,,,,,,,,235,451,93,
 9:15,44.57,,,,,,,,,,235,357,-121,
 9:15,44.59,,,,,,,,,,220,487,-150,
 9:15,44.60,,,,,,,,,,250,222,147,
 9:15,44.62,,,,,,,,,,223,471,51,
 9:15,44.63,,,,,,,,,,252,327,235,
 9:15,44.64,,,,,,,,,,220,463,-175,
 9:15,44.66,,,,,,,,,,220,487,-15,
 9:15,44.67,,,,,,,,,,243,282,-36,
 9:15,44.68,,,,,,,,,,246,366,202,
 9:15,44.70,,,,,,,,,,253,237,219,
 9:15,44.71,,,,,,,,,,220,498,-72,
 9:15,44.73,,,,,,,,,,240,403,169,
 9:15,44.74,,,,,,,,,,223,403,-165,
 9:15,44.75,,,,,,,,,,255,255,244,
 9:15,44.76,,,,,,,,,,240,243,91,
 9:15,44.78,,,,,,,,,,228,435,111,
 9:15,44.80,,,,,,,,,,252,288,255,
 9:15,44.81,,,,,,,,,,219,501,-157,
 9:15,44.82,,,,,,,,,,255,226,142,
 9:15,44.83,,,,,,,,,,228,331,-87,
 9:15,44.85,,,,,,,,,,249,327,232,
 9:15,44.86,,,,,,,,,,210,229,192,
 9:15,44.88,,,,,,,,,,223,495,-13,
 9:15,44.89,,,,,,,,,,231,297,-45,
 9:15,44.91,,,,,,,,,,211,441,-183,
 9:15,44.92,,,,,,,,,,252,231,232,
 9:15,44.93,,,,,,,,,,220,498,-70,
 9:15,44.94,,,,,,,,,,237,403,168,
 9:15,44.96,,,,,,,,,,217,408,-171,
 9:15,44.97,,,,,,,,,,217,502,-115,
 9:15,44.99,,,,,,,,,,255,243,81,
 9:15,45.00,,,,,,,,,,234,436,108,
 9:15,45.01,,,,,,,,,,250,283,258,
