sep=,

June 15. 2018
Sensor Datalog
Time,Time,Pressure,Temperature,Humidity,Acceleration(XYZ),,,Angular Rate(XYZ),,,Mag Field(XYZ),,,
[h:m],[s],[hPa],[°C],[%],[mg],[mg],[mg],[mdps],[mdps],[mdps],[mGauss],[mGauss],[mGauss],
 9:13,36.13,,,,,,,,,,217,349,-223,
 9:13,36.14,,,,,,,,,,250,277,349,
 9:13,36.16,,,,,,,,,,222,519,-223,
 9:13,36.17,,,,,,,,,,235,510,82,
 9:13,36.19,,,,,,,,,,220,304,-178,
 9:13,36.20,,,,,,,,,,231,487,-259,
 9:13,36.21,,,,,,,,,,232,192,228,
 9:13,36.23,,,,,,,,,,241,532,1,
 9:13,36.24,,,,,,,,,,249,375,309,
 9:13,36.25,,,,,,,,,,225,454,-268,
 9:13,36.27,,,,,,,,,,234,538,-81,
 9:13,36.28,,,,,,,,,,223,225,-28,
 9:13,36.30,,,,,,,,,,249,421,262,
 9:13,36.31,,,,,,,,,,237,228,333,
 9:13,36.32,,,,,,,,,,241,526,-153,
 9:13,36.33,,,,,,,,,,228,201,61,
 9:13,36.35,,,,,,,,,,213,354,-240,
 9:13,36.36,,,,,,,,,,237,271,345,
 9:13,36.38,,,,,,,,,,231,190,144,
 9:13,36.39,,,,,,,,,,240,498,103,
 9:13,36.41,,,,,,,,,,222,304,-187,
 9:13,36.42,,,,,,,,,,225,504,-252,
 9:13,36.43,,,,,,,,,,232,184,220,
 9:13,36.44,,,,,,,,,,219,264,-121,
 9:13,36.46,,,,,,,,,,241,366,316,
 9:13,36.48,,,,,,,,,,223,465,-268,
 9:13,36.49,,,,,,,,,,247,538,-64,
 9:13,36.50,,,,,,,,,,219,228,-40,
 9:13,36.51,,,,,,,,,,235,412,-264,
 9:13,36.53,,,,,,,,,,244,222,322,
 9:13,36.54,,,,,,,,,,232,540,-136,
 9:13,36.56,,,,,,,,,,249,445,208,
 9:13,36.57,,,,,,,,,,229,364,-240,
 9:13,36.58,,,,,,,,,,225,532,-198,
 9:13,36.60,,,,,,,,,,225,192,109,
 9:13,36.61,,,,,,,,,,252,477,142,
 9:13,36.62,,,,,,,,,,252,300,345,
 9:13,36.64,,,,,,,,,,225,511,-235,
 9:13,36.65,,,,,,,,,,241,510,51,
 9:13,36.67,,,,,,,,,,222,291,-153,
 9:13,36.68,,,,,,,,,,247,348,330,
 9:13,36.69,,,,,,,,,,238,195,259,
