sep=,,,,
,,,,
June 11. 2018,,,,
Sensor Datalog,,,,
Time,Time,Mag Field(XYZ),,
[h:m],[s],[mGauss],[mGauss],[mGauss]
 8:10,6.66,226,294,292
 8:10,6.68,444,463,276
 8:10,6.69,535,408,288
 8:10,6.71,73,396,261
 8:10,6.72,382,465,262
 8:10,6.73,13,291,282
 8:10,6.75,541,427,285
 8:10,6.76,360,322,291
 8:10,6.77,316,459,270
 8:10,6.79,538,442,286
 8:10,6.8,-6,346,264
 8:10,6.82,427,354,298
 8:10,6.83,114,283,282
 8:10,6.84,513,468,277
 8:10,6.85,475,372,298
 8:10,6.87,169,426,264
 8:10,6.88,184,288,285
 8:10,6.9,-22,303,267
 8:10,6.91,520,391,283
 8:10,6.92,250,301,297
 8:10,6.94,418,474,270
 8:10,6.95,-15,294,271
 8:10,6.97,72,388,262
 8:10,6.98,310,310,289
 8:10,7,367,465,268
 8:10,7.01,544,436,291
 8:10,7.02,24,361,265
 8:10,7.03,304,459,267
 8:10,7.05,57,285,282
 8:10,7.06,538,445,282
 8:10,7.08,433,349,295
 8:10,7.09,235,433,267
 8:10,7.1,514,450,282
 8:10,7.12,-24,321,270
 8:10,7.13,480,369,291
 8:10,7.14,189,286,289
 8:10,7.16,466,463,277
 8:10,7.17,514,384,295
 8:10,7.19,102,406,259
 8:10,7.2,253,295,295
 8:10,7.21,-6,289,276
 8:10,7.23,526,414,289
 8:10,7.24,327,316,286
 8:10,7.26,352,466,270
 8:10,7.27,24,276,271
 8:10,7.28,-3,357,261
 8:10,7.3,394,330,294
 8:10,7.31,76,279,280
 8:10,7.32,528,451,276
 8:10,7.34,-27,339,261
 8:10,7.35,210,432,256
 8:10,7.37,148,274,285
 8:10,7.38,-28,321,271
 8:10,7.39,498,384,288
 8:10,7.41,138,418,261
 8:10,7.42,451,469,270
 8:10,7.43,-22,301,268
 8:10,7.45,84,396,261
 8:10,7.46,288,310,295
 8:10,7.48,393,469,270
 8:10,7.49,543,426,286
 8:10,7.5,31,382,262
 8:10,7.52,352,328,303
 8:10,7.53,51,283,280
 8:10,7.55,537,441,283
 8:10,7.56,414,349,291
 8:10,7.57,253,444,270
 8:10,7.58,103,285,288
 8:10,7.6,-30,327,262
 8:10,7.61,459,364,288
 8:10,7.63,154,274,277
 8:10,7.64,489,463,271
 8:10,7.66,-27,309,264
 8:10,7.67,132,415,258
 8:10,7.68,232,289,291
 8:10,7.69,-12,309,273
 8:10,7.71,531,412,289
 8:10,7.72,67,385,256
 8:10,7.74,370,472,267
 8:10,7.75,13,288,273
 8:10,7.76,18,369,261
 8:10,7.78,364,336,295
 8:10,7.79,303,459,271
 8:10,7.81,535,448,282
 8:10,7.82,-7,348,268
 8:10,7.83,234,450,264
 8:10,7.85,120,282,277
 8:10,7.86,516,460,279
 8:10,7.87,478,367,292
 8:10,7.89,168,429,259
 8:10,7.9,472,463,268
 8:10,7.92,-22,304,270
 8:10,7.93,514,397,298
 8:10,7.94,258,307,288
 8:10,7.96,409,469,265
 8:10,7.97,0,420,295
 8:10,7.98,49,382,267
 8:10,8,330,316,286
 8:10,8.01,36,283,280
 8:10,8.03,538,444,291
 8:10,8.04,6,363,256
 8:10,8.05,276,454,267
 8:10,8.07,79,276,282
 8:10,8.08,-19,339,259
 8:10,8.1,447,355,297
 8:10,8.11,207,436,267
 8:10,8.12,501,465,274
 8:10,8.14,-30,318,267
 8:10,8.15,151,426,261
 8:10,8.16,213,292,285
 8:10,8.18,456,474,273
 8:10,8.19,528,400,298
 8:10,8.21,87,402,259
 8:10,8.22,399,480,270
 8:10,8.23,-10,294,279
 8:10,8.25,537,417,280
 8:10,8.26,334,319,286
 8:10,8.27,349,465,265
 8:10,8.29,547,441,286
 8:10,8.3,6,366,264
 8:10,8.32,391,334,288
 8:10,8.33,88,273,279
 8:10,8.34,526,451,283
 8:10,8.36,450,369,300
 8:10,8.37,207,439,259
 8:10,8.39,141,286,286
 8:10,8.4,-31,324,268
 8:10,8.41,493,381,292
 8:10,8.42,207,291,292
 8:10,8.44,451,466,276
 8:10,8.45,-19,301,262
 8:10,8.47,85,403,252
 8:10,8.48,283,313,291
 8:10,8.5,387,460,279
 8:10,8.51,534,427,285
 8:10,8.52,28,367,261
 8:10,8.53,322,463,271
 8:10,8.55,52,280,273
 8:10,8.56,529,445,285
 8:10,8.58,417,343,298
 8:10,8.59,256,451,267
 8:10,8.6,514,453,285
 8:10,8.62,-34,331,265
 8:10,8.63,463,366,288
 8:10,8.65,162,289,280
 8:10,8.66,483,469,276
 8:10,8.67,505,388,288
 8:10,8.69,120,412,262
 8:10,8.7,240,297,292
 8:10,8.71,-10,298,268
 8:10,8.73,531,405,285
 8:10,8.74,306,310,294
 8:10,8.76,379,468,265
 8:10,8.77,21,289,270
 8:10,8.78,18,370,253
 8:10,8.8,369,336,300
 8:10,8.81,61,282,276
 8:10,8.82,537,450,279
 8:10,8.84,-6,340,259
 8:10,8.85,250,447,258
