sep=,,,,
,,,,
June 11. 2018,,,,
Sensor Datalog,,,,
Time,Time,Mag Field(XYZ),,
[h:m],[s],[mGauss],[mGauss],[mGauss]
 8:10,40.55,555,418,301
 8:10,40.57,331,318,301
 8:10,40.58,349,490,277
 8:10,40.59,16,306,277
 8:10,40.61,-15,397,274
 8:10,40.62,399,343,310
 8:10,40.64,76,300,291
 8:10,40.65,535,460,288
 8:10,40.66,-31,370,271
 8:10,40.67,208,469,277
 8:10,40.69,147,300,289
 8:10,40.7,-31,352,271
 8:10,40.72,514,385,301
 8:10,40.73,136,447,270
 8:10,40.75,460,484,285
 8:10,40.76,-36,330,288
 8:10,40.77,73,433,276
 8:10,40.78,283,316,309
 8:10,40.8,399,489,277
 8:10,40.81,559,427,298
 8:10,40.83,21,408,268
 8:10,40.84,334,483,282
 8:10,40.85,27,304,289
 8:10,40.87,558,447,292
 8:10,40.88,423,337,307
 8:10,40.9,258,471,279
 8:10,40.91,535,465,295
 8:10,40.92,-49,369,282
 8:10,40.94,487,366,301
 8:10,40.95,165,289,303
 8:10,40.96,495,471,289
 8:10,40.98,523,388,294
 8:10,40.99,118,447,271
 8:10,41.01,240,298,297
 8:10,41.02,-27,331,282
 8:10,41.03,553,405,301
 8:10,41.05,45,427,297
 8:10,41.06,373,487,280
 8:10,41.07,7,313,289
 8:10,41.09,16,403,280
 8:10,41.1,369,324,306
 8:10,41.12,321,481,276
 8:10,41.13,553,438,300
 8:10,41.14,-16,388,273
 8:10,41.16,247,474,277
 8:10,41.17,102,295,300
 8:10,41.19,532,456,298
 8:10,41.2,495,366,312
 8:10,41.21,168,462,274
 8:10,41.23,489,472,289
 8:10,41.24,-46,342,271
 8:10,41.25,528,393,304
 8:10,41.27,241,309,306
 8:10,41.28,432,489,282
 8:10,41.3,555,412,301
 8:10,41.31,42,424,277
 8:10,41.32,327,318,300
 8:10,41.33,15,307,291
 8:10,41.35,556,436,297
 8:10,41.36,399,327,310
 8:10,41.38,294,475,280
 8:10,41.39,64,298,289
 8:10,41.41,-30,379,279
 8:10,41.42,456,355,309
 8:10,41.43,130,295,294
 8:10,41.44,516,471,292
 8:10,41.46,-45,349,271
 8:10,41.47,144,463,276
 8:10,41.49,202,303,298
 8:10,41.5,480,483,282
 8:10,41.51,538,396,301
 8:10,41.53,84,441,274
 8:10,41.54,420,484,280
 8:10,41.56,-13,312,289
 8:10,41.57,565,421,298
 8:10,41.58,345,321,300
 8:10,41.6,339,486,280
 8:10,41.61,558,444,289
 8:10,41.62,-12,393,276
 8:10,41.64,417,345,303
 8:10,41.65,93,294,294
 8:10,41.67,544,463,288
 8:10,41.68,474,361,304
 8:10,41.69,193,466,277
 8:10,41.71,163,301,300
 8:10,41.72,-39,354,280
 8:10,41.73,511,382,300
 8:10,41.75,213,294,298
 8:10,41.76,469,474,285
 8:10,41.78,-33,339,283
 8:10,41.79,81,438,276
 8:10,41.8,277,307,307
 8:10,41.82,-6,318,292
 8:10,41.83,561,424,294
 8:10,41.85,18,417,277
 8:10,41.86,337,483,277
 8:10,41.87,31,307,295
 8:10,41.89,-18,397,273
 8:10,41.9,414,340,297
 8:10,41.91,262,480,282
 8:10,41.93,538,457,292
 8:10,41.94,-33,367,274
 8:10,41.96,463,366,304
 8:10,41.97,159,297,289
 8:10,41.98,502,486,289
 8:10,42,517,384,310
 8:10,42.01,126,459,271
 8:10,42.02,225,306,304
 8:10,42.04,-28,330,286
 8:10,42.05,543,408,301
 8:10,42.07,297,313,297
 8:10,42.08,382,486,282
 8:10,42.09,-3,319,288
 8:10,42.11,16,417,280
 8:10,42.12,367,328,304
 8:10,42.14,52,304,295
 8:10,42.15,553,450,289
