June 4. 2018,,,,
Sensor Datalog,,,,
Time,Time,Mag Field(XYZ),,
[h:m],[s],[mGauss],[mGauss],[mGauss]
 9:27,11.84,-270,-258,301
 9:27,11.86,-465,249,312
 9:27,11.87,-247,-204,277
 9:27,11.89,-588,648,304
 9:27,11.9,-496,453,292
 9:27,11.91,-409,115,312
 9:27,11.93,-573,598,319
 9:27,11.94,-217,-348,292
 9:27,11.96,-535,559,294
 9:27,11.97,-339,51,280
 9:27,11.98,-549,513,315
 9:27,12,-567,628,303
 9:27,12.01,-313,-141,304
 9:27,12.02,-388,184,277
 9:27,12.04,-222,-295,282
 9:27,12.05,-583,663,301
 9:27,12.07,-268,-238,303
 9:27,12.08,-468,277,315
 9:27,12.09,-250,-214,283
 9:27,12.1,-247,-297,300
 9:27,12.12,-460,417,294
 9:27,12.13,-438,168,318
 9:27,12.15,-582,628,312
 9:27,12.16,-229,-334,282
 9:27,12.17,-388,39,310
 9:27,12.19,-312,-10,273
 9:27,12.2,-568,553,310
 9:27,12.22,-552,595,294
 9:27,12.23,-331,-91,309
 9:27,12.25,-532,453,318
 9:27,12.26,-214,-318,279
 9:27,12.27,-579,648,301
 9:27,12.28,-411,265,282
 9:27,12.3,-492,333,319
 9:27,12.31,-594,664,307
 9:27,12.33,-249,-277,286
 9:27,12.34,-471,388,288
 9:27,12.35,-274,-156,274
 9:27,12.37,-577,630,306
 9:27,12.38,-514,508,297
 9:27,12.39,-390,52,310
 9:27,12.41,-303,-36,283
 9:27,12.42,-208,-345,285
 9:27,12.44,-549,591,297
 9:27,12.45,-357,102,283
 9:27,12.46,-537,480,315
 9:27,12.48,-223,-330,282
 9:27,12.49,-298,-177,306
 9:27,12.51,-405,241,276
 9:27,12.52,-232,-267,286
 9:27,12.53,-583,663,312
 9:27,12.55,-259,-268,289
 9:27,12.56,-447,220,318
 9:27,12.57,-261,-172,274
 9:27,12.59,-225,-333,292
 9:27,12.6,-505,493,285
 9:27,12.62,-400,75,310
 9:27,12.63,-571,579,310
 9:27,12.64,-213,-354,288
 9:27,12.66,-342,-49,312
 9:27,12.67,-337,81,271
 9:27,12.68,-535,498,313
 9:27,12.7,-565,639,297
 9:27,12.71,-301,-163,301
 9:27,12.73,-400,384,318
 9:27,12.74,-222,-294,277
 9:27,12.75,-591,660,307
 9:27,12.76,-430,319,289
 9:27,12.78,-472,271,316
 9:27,12.8,-237,-211,279
 9:27,12.81,-240,-315,295
 9:27,12.82,-483,438,288
 9:27,12.83,-273,-105,273
 9:27,12.85,-577,610,301
 9:27,12.86,-225,-346,283
 9:27,12.88,-369,7,315
 9:27,12.89,-327,21,279
 9:27,12.91,-217,-345,282
 9:27,12.92,-559,618,304
 9:27,12.93,-324,-120,297
 9:27,12.94,-520,435,319
 9:27,12.96,-214,-309,283
 9:27,12.97,-289,-223,304
 9:27,12.99,-432,288,286
 9:27,13,-483,306,321
 9:27,13.01,-580,660,303
 9:27,13.03,-247,-298,289
 9:27,13.04,-427,178,310
 9:27,13.05,-273,-127,270
 9:27,13.07,-586,621,312
 9:27,13.08,-517,522,292
 9:27,13.1,-387,39,310
 9:27,13.11,-565,555,315
 9:27,13.12,-207,-346,286
 9:27,13.14,-553,594,298
 9:27,13.15,-369,121,282
