sep=,

June 15. 2018
Sensor Datalog
Time,Time,Pressure,Temperature,Humidity,Acceleration(XYZ),,,Angular Rate(XYZ),,,Mag Field(XYZ),,,
[h:m],[s],[hPa],[°C],[%],[mg],[mg],[mg],[mdps],[mdps],[mdps],[mGauss],[mGauss],[mGauss],
 9:31,02.03,,,,,,,,,,139,172,-57,
 9:31,02.04,,,,,,,,,,183,316,508,
 9:31,02.05,,,,,,,,,,91,342,-498,
 9:31,02.07,,,,,,,,,,109,448,-243,
 9:31,02.08,,,,,,,,,,148,133,93,
 9:31,02.10,,,,,,,,,,172,298,-435,
 9:31,02.11,,,,,,,,,,196,175,657,
 9:31,02.12,,,,,,,,,,112,439,-355,
 9:31,02.14,,,,,,,,,,156,393,244,
 9:31,02.15,,,,,,,,,,111,250,-351,
 9:31,02.17,,,,,,,,,,195,211,658,
 9:31,02.18,,,,,,,,,,181,112,387,
 9:31,02.19,,,,,,,,,,138,418,93,
 9:31,02.21,,,,,,,,,,187,255,618,
 9:31,02.22,,,,,,,,,,96,396,-492,
 9:31,02.23,,,,,,,,,,193,111,516,
 9:31,02.25,,,,,,,,,,132,174,-102,
 9:31,02.26,,,,,,,,,,184,301,541,
 9:31,02.28,,,,,,,,,,192,142,601,
 9:31,02.29,,,,,,,,,,117,451,-207,
 9:31,02.30,,,,,,,,,,148,142,58,
 9:31,02.32,,,,,,,,,,111,321,-475,
 9:31,02.33,,,,,,,,,,195,156,646,
 9:31,02.34,,,,,,,,,,162,136,178,
 9:31,02.36,,,,,,,,,,151,379,307,
 9:31,02.37,,,,,,,,,,108,279,-403,
 9:31,02.39,,,,,,,,,,102,433,-415,
 9:31,02.40,,,,,,,,,,171,118,334,
 9:31,02.41,,,,,,,,,,120,232,-292,
 9:31,02.42,,,,,,,,,,192,246,643,
 9:31,02.44,,,,,,,,,,88,402,-487,
 9:31,02.46,,,,,,,,,,130,433,1,
 9:31,02.47,,,,,,,,,,135,193,-157,
 9:31,02.48,,,,,,,,,,87,367,-505,
 9:31,02.50,,,,,,,,,,193,130,570,
 9:31,02.51,,,,,,,,,,111,447,-159,
 9:31,02.52,,,,,,,,,,177,325,469,
 9:31,02.54,,,,,,,,,,99,322,-477,
 9:31,02.55,,,,,,,,,,102,445,-294,
 9:31,02.57,,,,,,,,,,157,124,156,
 9:31,02.58,,,,,,,,,,159,364,339,
 9:31,02.59,,,,,,,,,,196,189,672,
 9:31,02.60,,,,,,,,,,103,430,-390,
 9:31,02.62,,,,,,,,,,147,402,187,
 9:31,02.63,,,,,,,,,,121,237,-313,
 9:31,02.65,,,,,,,,,,207,225,643,
 9:31,02.66,,,,,,,,,,183,118,447,
 9:31,02.67,,,,,,,,,,133,427,27,
 9:31,02.69,,,,,,,,,,187,271,595,
 9:31,02.70,,,,,,,,,,94,376,-493,
 9:31,02.72,,,,,,,,,,193,132,547,
 9:31,02.73,,,,,,,,,,144,162,-39,
 9:31,02.75,,,,,,,,,,183,327,490,
 9:31,02.76,,,,,,,,,,195,148,630,
 9:31,02.77,,,,,,,,,,111,445,-273,
 9:31,02.78,,,,,,,,,,159,135,120,
 9:31,02.80,,,,,,,,,,103,286,-430,
 9:31,02.81,,,,,,,,,,199,178,664,
 9:31,02.83,,,,,,,,,,174,124,285,
 9:31,02.84,,,,,,,,,,147,394,207,
 9:31,02.85,,,,,,,,,,114,250,-336,
 9:31,02.87,,,,,,,,,,93,418,-456,
